row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kế quả hoạt động kinh doanh hợp nhất,Báo cáo kế quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kế quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kế quả hoạt động kinh doanh hợp nhất_1
,,,VND,VND,VND,VND,,,,
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,9.134.700.000,8.577.600.000,(557.100.000),(755.600.001),9134700000.0,8577600000.0,-557100000.0,-755600001.0
Chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giả hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,4.311.636,4.585.951,274.315,(2.471.884),4311636.0,4585951.0,274315.0,-2471884.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,9.139.011.636,8.582.185.951,,,9139011636.0,8582185951.0,,
Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,Thu nhập thuế thu nhập hoãn lại,,,(556.825.685),(758.071.885),,,-556825685.0,-758071885.0
