row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm_1,Số cuối năm_2,Số đầu năm,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số cuối năm_2,numeric__Số đầu năm
,,,Giá gốc,VND Dự phòng,Giá gốc,VND Dự phòng,,,,
a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,a. Hàng tồn kho,,,,
Hàng mua đang đi đường,a. Hàng tồn kho > Hàng mua đang đi đường,Hàng mua đang đi đường,163.024.074,-,4.072.548.061,-,163024074.0,,4072548061.0,
"Nguyên liệu, vật liệu","a. Hàng tồn kho > Nguyên liệu, vật liệu","Nguyên liệu, vật liệu",383.962.754.165,(45.062.748.280),462.068.755.920,(45.855.721.832),383962754165.0,-45062748280.0,462068755920.0,-45855721832.0
"Công cụ, dụng cụ","a. Hàng tồn kho > Công cụ, dụng cụ","Công cụ, dụng cụ",4.000.165.611,-,4.423.881.523,-,4000165611.0,,4423881523.0,
"Chi phí sản xuất, kinh doanh dở dang (i)","a. Hàng tồn kho > Chi phí sản xuất, kinh doanh dở dang (i)","Chi phí sản xuất, kinh doanh dở dang (i)",15.540.682.668,-,15.816.811.225,-,15540682668.0,,15816811225.0,
Thành phẩm,a. Hàng tồn kho > Thành phẩm,Thành phẩm,305.541.488.601,-,276.373.338.592,-,305541488601.0,,276373338592.0,
,,,709.208.115.119,(45.062.748.280),762.755.335.321,(45.855.721.832),709208115119.0,-45062748280.0,762755335321.0,-45855721832.0
"b. Thiết bị, vật tư, phụ tùng thay thế dài hạn","a. Hàng tồn kho > b. Thiết bị, vật tư, phụ tùng thay thế dài hạn","b. Thiết bị, vật tư, phụ tùng thay thế dài hạn",107.923.461.420,-,124.295.325.661,-,107923461420.0,,124295325661.0,
Tổng cộng,a. Hàng tồn kho > Tổng cộng,Tổng cộng,817.131.576.539,(45.062.748.280),887.050.660.982,(45.855.721.832),817131576539.0,-45062748280.0,887050660982.0,-45855721832.0
