row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,23,7.470.381.177.162,8.440.110.589.235,,1.0,23.0,7470381177162.0,8440110589235.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,23,406.038.795.240,477.481.551.385,,2.0,23.0,406038795240.0,477481551385.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,23,7.064.342.381.922,7.962.629.037.850,,10.0,23.0,7064342381922.0,7962629037850.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ đã cung cấp,11,24,6.195.124.697.941,6.607.041.535.736,,11.0,24.0,6195124697941.0,6607041535736.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,869.217.683.981,1.355.587.502.114,,20.0,,869217683981.0,1355587502114.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,,18.208.475.061,11.676.851.747,,21.0,,18208475061.0,11676851747.0
7.,7.,7.,Chi phí tài chính,22,26,124.900.599.082,222.634.224.822,,22.0,26.0,124900599082.0,222634224822.0
,,,- Trong đó: Chi phí lãi vay,23,,99.949.157.178,181.090.596.247,,23.0,,99949157178.0,181090596247.0
8.,8.,8.,Chi phí bán hàng,25,27,130.537.061.567,150.250.619.058,,25.0,27.0,130537061567.0,150250619058.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,27,168.202.065.301,200.576.130.373,,26.0,27.0,168202065301.0,200576130373.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,463.786.433.092,793.803.379.608,,30.0,,463786433092.0,793803379608.0
11.,11.,11.,Thu nhập khác,31,,6.913.212.655,1.721.731.434,,31.0,,6913212655.0,1721731434.0
12.,12.,12.,Chi phí khác,32,,8.926.211.366,27.825.712.839,,32.0,,8926211366.0,27825712839.0
13.,13.,13.,Lỗ khác (40=31-32),40,,(2.012.998.711),(26.103.981.405),,40.0,,-2012998711.0,-26103981405.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,461.773.434.381,767.699.398.203,,50.0,,461773434381.0,767699398203.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,28,93.123.113.586,160.443.030.649,,51.0,28.0,93123113586.0,160443030649.0
16.,16.,16.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,28,(556.825.685),(758.071.885),,52.0,28.0,-556825685.0,-758071885.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-(51+52)),60,,369.207.146.480,608.014.439.439,,60.0,,369207146480.0,608014439439.0
17.1.,17.1.,17.1.,Lợi nhuận sau thuế của Cổ đông Công ty mẹ,61,,368.954.105.376,607.731.616.946,,61.0,,368954105376.0,607731616946.0
17.2.,17.2.,17.2.,Lợi nhuận sau thuế của Cổ đông không kiểm soát,62,,253.041.104,282.822.493,,62.0,,253041104.0,282822493.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,29,967,1.254,,70.0,29.0,967.0,1254.0
