row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,1.524.135.041.418,2.332.897.939.091,,100.0,,1524135041418.0,2332897939091.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,296.219.053.798,1.078.523.895.908,,110.0,4.0,296219053798.0,1078523895908.0
1.,1.,1.,Tiền,111,,240.681.533.577,678.002.242.263,,111.0,,240681533577.0,678002242263.0
2.,2.,2.,Các khoản tương đương tiền,112,,55.537.520.221,400.521.653.645,,112.0,,55537520221.0,400521653645.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,14.627.847.844,13.884.098.881,,120.0,5.0,14627847844.0,13884098881.0
1.,1.,1.,Chứng khoán kinh doanh,121,,-,804.151,,121.0,,,804151.0
2.,2.,2.,Đầu tư nằm giữ đến ngày đáo hạn,123,,14.627.847.844,13.883.294.730,,123.0,,14627847844.0,13883294730.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,526.801.211.034,489.301.599.320,,130.0,,526801211034.0,489301599320.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,258.124.766.819,351.469.765.608,,131.0,6.0,258124766819.0,351469765608.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,35.771.216.124,19.876.027.639,,132.0,7.0,35771216124.0,19876027639.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,232.959.115.257,117.894.621.011,,136.0,8.0,232959115257.0,117894621011.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,,(109.543.950),-,,137.0,,-109543950.0,
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,55.656.784,61.185.062,,139.0,,55656784.0,61185062.0
IV.,IV.,IV.,Hàng tồn kho,140,9,664.145.366.839,716.899.613.489,,140.0,9.0,664145366839.0,716899613489.0
1.,1.,1.,Hàng tồn kho,141,,709.208.115.119,762.755.335.321,,141.0,,709208115119.0,762755335321.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(45.062.748.280),(45.855.721.832),,149.0,,-45062748280.0,-45855721832.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,22.341.561.903,34.288.731.493,,150.0,,22341561903.0,34288731493.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,10,4.395.967.198,3.995.817.866,,151.0,10.0,4395967198.0,3995817866.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,17.942.032.776,22.771.019.690,,152.0,,17942032776.0,22771019690.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,11,3.561.929,7.521.893.937,,153.0,11.0,3561929.0,7521893937.0
