row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Thiết bị văn phòng,"Phương tiện vận tải, thiết bị truyền dẫn",Khác,Tổng cộng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Thiết bị văn phòng,"numeric__Phương tiện vận tải, thiết bị truyền dẫn",numeric__Khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,3.512.262.115.262,9.011.949.666.913,44.419.071.544,324.766.041.074,697.459.364.166,13.590.856.258.959,3512262115262.0,9011949666913.0,44419071544.0,324766041074.0,697459364166.0,13590856258959.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,3.824.845.051,78.491.320.408,10.788.987.228,13.558.501.037,-,106.663.653.724,3824845051.0,78491320408.0,10788987228.0,13558501037.0,,106663653724.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,3.319.426.116,977.837.981,-,-,-,4.297.264.097,3319426116.0,977837981.0,,,,4297264097.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(21.043.290.043),(179.399.120),(1.047.476.727),-,(22.270.165.890),,-21043290043.0,-179399120.0,-1047476727.0,,-22270165890.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,3.519.406.386.429,9.070.375.535.259,55.028.659.652,337.277.065.384,697.459.364.166,13.679.547.010.890,3519406386429.0,9070375535259.0,55028659652.0,337277065384.0,697459364166.0,13679547010890.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.575.213.784.280,5.118.152.815.921,38.525.272.341,288.863.066.737,331.009.293.369,7.351.764.232.648,1575213784280.0,5118152815921.0,38525272341.0,288863066737.0,331009293369.0,7351764232648.0
Trích khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao trong năm,Trích khấu hao trong năm,113.831.424.245,434.530.350.898,1.929.949.808,9.043.503.137,24.164.621.736,583.499.849.824,113831424245.0,434530350898.0,1929949808.0,9043503137.0,24164621736.0,583499849824.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(18.129.111.821),(179.399.120),(1.047.476.727),-,(19.355.987.668),,-18129111821.0,-179399120.0,-1047476727.0,,-19355987668.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.689.045.208.525,5.534.554.054.998,40.275.823.029,296.859.093.147,355.173.915.105,7.915.908.094.804,1689045208525.0,5534554054998.0,40275823029.0,296859093147.0,355173915105.0,7915908094804.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.937.048.330.982,3.893.796.850.992,5.893.799.203,35.902.974.337,366.450.070.797,6.239.092.026.311,1937048330982.0,3893796850992.0,5893799203.0,35902974337.0,366450070797.0,6239092026311.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.830.361.177.904,3.535.821.480.261,14.752.836.623,40.417.972.237,342.285.449.061,5.763.638.916.086,1830361177904.0,3535821480261.0,14752836623.0,40417972237.0,342285449061.0,5763638916086.0
