row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Bản quyền,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Bản quyền,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,102.202.954.505,26.025.487.638,3.247.354.120,131.475.796.263,102202954505.0,26025487638.0,3247354120.0,131475796263.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,915.131.900,-,915.131.900,,915131900.0,,915131900.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,102.202.954.505,26.940.619.538,3.247.354.120,132.390.928.163,102202954505.0,26940619538.0,3247354120.0,132390928163.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,7.637.191.035,25.436.181.074,3.247.354.120,36.320.726.229,7637191035.0,25436181074.0,3247354120.0,36320726229.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,519.964.395,240.131.404,-,760.095.799,519964395.0,240131404.0,,760095799.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,8.157.155.430,25.676.312.478,3.247.354.120,37.080.822.028,8157155430.0,25676312478.0,3247354120.0,37080822028.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,94.565.763.470,589.306.564,-,95.155.070.034,94565763470.0,589306564.0,,95155070034.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,94.045.799.075,1.264.307.060,-,95.310.106.135,94045799075.0,1264307060.0,,95310106135.0
