row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Thiết bị văn phòng VND,"Phương tiện vận tải, thiết bị truyền dẫn VND",Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Thiết bị văn phòng VND,"numeric__Phương tiện vận tải, thiết bị truyền dẫn VND",numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.215.121.477.750,6.902.323.279.594,24.155.440.514,282.913.665.224,9.424.513.863.082,2215121477750.0,6902323279594.0,24155440514.0,282913665224.0,9424513863082.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,3.010.640.126,60.846.354.340,3.895.887.870,5.772.467.689,73.525.350.025,3010640126.0,60846354340.0,3895887870.0,5772467689.0,73525350025.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,445.378.022.412,54.391.499.934,81.300.000,4.232.949.052,504.083.771.398,445378022412.0,54391499934.0,81300000.0,4232949052.0,504083771398.0
Phân chia theo thỏa thuận hợp tác đầu tư,NGUYÊN GIÁ > Phân chia theo thỏa thuận hợp tác đầu tư,Phân chia theo thỏa thuận hợp tác đầu tư,(3.639.662.163),(26.203.860.317),-,(2.633.427.607),(32.476.950.087),-3639662163.0,-26203860317.0,,-2633427607.0,-32476950087.0
Phân loại lại sang Bắt động sản đầu tư,NGUYÊN GIÁ > Phân loại lại sang Bắt động sản đầu tư,Phân loại lại sang Bắt động sản đầu tư,(74.745.514.589),-,-,-,(74.745.514.589),-74745514589.0,,,,-74745514589.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,114.508.476,(111.767.908),(808.068.048),805.327.480,-,114508476.0,-111767908.0,-808068048.0,805327480.0,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(148.645.730.860),(98.860.034.353),(1.011.955.120),(16.285.264.804),(264.802.985.137),-148645730860.0,-98860034353.0,-1011955120.0,-16285264804.0,-264802985137.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.436.593.741.152,6.892.385.471.290,26.312.605.216,274.805.717.034,9.630.097.534.692,2436593741152.0,6892385471290.0,26312605216.0,274805717034.0,9630097534692.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,717.907.898.265,1.900.813.182.720,18.068.759.139,131.650.201.656,2.768.440.041.780,717907898265.0,1900813182720.0,18068759139.0,131650201656.0,2768440041780.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,111.714.182.218,442.601.133.674,1.705.751.319,27.518.603.420,583.539.670.631,111714182218.0,442601133674.0,1705751319.0,27518603420.0,583539670631.0
Phân loại lại sang Bắt động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại sang Bắt động sản đầu tư,Phân loại lại sang Bắt động sản đầu tư,(58.821.452.364),-,-,-,(58.821.452.364),-58821452364.0,,,,-58821452364.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,114.508.479,(71.503.128),71.503.128,(114.508.479),-,114508479.0,-71503128.0,71503128.0,-114508479.0,
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(147.775.693.991),(88.905.805.457),(985.560.724),(14.367.156.108),(252.034.216.280),-147775693991.0,-88905805457.0,-985560724.0,-14367156108.0,-252034216280.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,623.139.442.607,2.254.437.007.809,18.860.452.862,144.687.140.489,3.041.124.043.767,623139442607.0,2254437007809.0,18860452862.0,144687140489.0,3041124043767.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,1.497.213.579.485,5.001.510.096.874,6.086.681.375,151.263.463.568,6.656.073.821.302,1497213579485.0,5001510096874.0,6086681375.0,151263463568.0,6656073821302.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,1.813.454.298.545,4.637.948.463.481,7.452.152.354,130.118.576.545,6.588.973.490.925,1813454298545.0,4637948463481.0,7452152354.0,130118576545.0,6588973490925.0
