row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,13.788.814.245.277,17.406.793.446.497,13788814245277.0,17406793446497.0
Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,2.008.285.684.719,864.048.854.367,2008285684719.0,864048854367.0
Doanh thu bán điện,Doanh thu bán điện,Doanh thu bán điện,783.667.495.017,127.507.903.928,783667495017.0,127507903928.0
Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,215.085.432.393,191.909.436.488,215085432393.0,191909436488.0
Doanh thu xây lắp,Doanh thu xây lắp,Doanh thu xây lắp,-,187.839.878.198,,187839878198.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,26.970.822.617,69.659.389.707,26970822617.0,69659389707.0
,,,16.822.823.680.023,18.847.758.909.185,16822823680023.0,18847758909185.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,,
a. Chiết khấu thương mại,Các khoản giảm trừ doanh thu > a. Chiết khấu thương mại,a. Chiết khấu thương mại,150.655.634.787,132.083.898.569,150655634787.0,132083898569.0
b. Giảm giá hàng bán,Các khoản giảm trừ doanh thu > b. Giảm giá hàng bán,b. Giảm giá hàng bán,7.432.912.622,1.430.649.471,7432912622.0,1430649471.0
c. Hàng bán bị trả lại,Các khoản giảm trừ doanh thu > c. Hàng bán bị trả lại,c. Hàng bán bị trả lại,62.595.000,38.500.000,62595000.0,38500000.0
,,,158.151.142.409,133.553.048.040,158151142409.0,133553048040.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu > Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,16.664.672.537.614,18.714.205.861.145,16664672537614.0,18714205861145.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên liên quan(Chi tiết tại Thuyết minh số 38),Trong đó: > Doanh thu với các bên liên quan(Chi tiết tại Thuyết minh số 38),Doanh thu với các bên liên quan(Chi tiết tại Thuyết minh số 38),16.617.554.028,32.966.671.816,16617554028.0,32966671816.0
