row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,,,
Samsung C&T Singapore PTE. LTD,a. Ngắn hạn > Samsung C&T Singapore PTE. LTD,Samsung C&T Singapore PTE. LTD,321.997.425.551,321.997.425.551,-,-,321997425551.0,321997425551.0,,
Toyota Tsusho Asia Pacific PTE. LTD.,a. Ngắn hạn > Toyota Tsusho Asia Pacific PTE. LTD.,Toyota Tsusho Asia Pacific PTE. LTD.,135.644.531.790,135.644.531.790,-,-,135644531790.0,135644531790.0,,
LS Nikko Cooper Inc,a. Ngắn hạn > LS Nikko Cooper Inc,LS Nikko Cooper Inc,-,-,1.076.454.136.689,1.076.454.136.689,,,1076454136689.0,1076454136689.0
"Y and W Engineering and Trading Co., Ltd","a. Ngắn hạn > Y and W Engineering and Trading Co., Ltd","Y and W Engineering and Trading Co., Ltd",144.878.473.333,144.878.473.333,-,-,144878473333.0,144878473333.0,,
Công ty Cổ phần Tập đoàn GELEX,a. Ngắn hạn > Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,92.106.174.396,92.106.174.396,1.090.120.889.177,1.090.120.889.177,92106174396.0,92106174396.0,1090120889177.0,1090120889177.0
Tổng Công ty Thiết bị điện Đông Anh - CTCP,a. Ngắn hạn > Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,38.013.562.772,38.013.562.772,74.287.506.372,74.287.506.372,38013562772.0,38013562772.0,74287506372.0,74287506372.0
Các đối tượng khác,a. Ngắn hạn > Các đối tượng khác,Các đối tượng khác,319.551.897.004,319.551.897.004,563.778.471.500,563.778.471.500,319551897004.0,319551897004.0,563778471500.0,563778471500.0
,,,1.052.192.064.846,1.052.192.064.846,2.804.641.003.738,2.804.641.003.738,1052192064846.0,1052192064846.0,2804641003738.0,2804641003738.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,,,
Tổng Công ty Thiết bị điện Đông Anh - CTCP,b. Dài hạn > Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,9.259.078.400,9.259.078.400,9.259.078.400,9.259.078.400,9259078400.0,9259078400.0,9259078400.0,9259078400.0
,,,9.259.078.400,9.259.078.400,9.259.078.400,9.259.078.400,9259078400.0,9259078400.0,9259078400.0,9259078400.0
Trong đó: Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 38),b. Dài hạn > Trong đó: Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 38),Trong đó: Phải trả người bán là các bên liên quan (chi tiết tại Thuyết minh số 38),139.388.185.759,139.388.185.759,1.173.679.020.340,1.173.679.020.340,139388185759.0,139388185759.0,1173679020340.0,1173679020340.0
