row_label_raw,row_label_full,Công ty Mua Bán Điện - Tập đoàn Điện lực Việt Nam,Số cuối nămVND > 174.925.600.357,Số đầu nămVND > 142.566.455.871,numeric__Số cuối nămVND > 174.925.600.357,numeric__Số đầu nămVND > 142.566.455.871
Công ty Cổ phần Tập đoàn Đức Tường,Công ty Cổ phần Tập đoàn Đức Tường,Công ty Cổ phần Tập đoàn Đức Tường,174.604.298.661,351.680.906.100,174604298661.0,351680906100.0
Công ty Cổ phần Điện máy Thành phố Hồ Chí Minh,Công ty Cổ phần Điện máy Thành phố Hồ Chí Minh,Công ty Cổ phần Điện máy Thành phố Hồ Chí Minh,105.226.814.025,106.931.121.035,105226814025.0,106931121035.0
Tổng Công ty Điện lực Miền Nam,Tổng Công ty Điện lực Miền Nam,Tổng Công ty Điện lực Miền Nam,93.603.342.761,-,93603342761.0,
Công ty Cổ phần Thương mại và Dịch vụ Việt Kim,Công ty Cổ phần Thương mại và Dịch vụ Việt Kim,Công ty Cổ phần Thương mại và Dịch vụ Việt Kim,1.667.071.670,398.802.923.083,1667071670.0,398802923083.0
Công ty TNHH Sao Kim BK,Công ty TNHH Sao Kim BK,Công ty TNHH Sao Kim BK,-,398.142.925.700,,398142925700.0
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,1.101.026.268.995,1.582.099.399.265,1101026268995.0,1582099399265.0
,,,1.651.053.396.469,2.980.223.731.054,1651053396469.0,2980223731054.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn của khách hàng là các bên liên quan(Chi tiết tại Thuyết minh số 38),Trong đó: > Phải thu ngắn hạn của khách hàng là các bên liên quan(Chi tiết tại Thuyết minh số 38),Phải thu ngắn hạn của khách hàng là các bên liên quan(Chi tiết tại Thuyết minh số 38),2.734.792.625,55.396.080.980,2734792625.0,55396080980.0
