row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác thuộc vốn chủ sở hữu VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích của cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác thuộc vốn chủ sở hữu VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích của cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.218.700.000.000,-,464.368.621.259,5.000.000.000,425.614.619.273,520.427.289.650,3.634.110.530.182,2218700000000.0,,464368621259.0,5000000000.0,425614619273.0,520427289650.0,3634110530182.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,781.300.000.000,835.287.500.000,-,-,-,-,1.616.587.500.000,781300000000.0,835287500000.0,,,,,1616587500000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,565.867.041.019,88.921.937.997,654.788.979.016,,,,,565867041019.0,88921937997.0,654788979016.0
Cổ tức công bố,Cổ tức công bố,Cổ tức công bố,-,-,-,-,(110.935.000.000),(63.162.376.000),(174.097.376.000),,,,,-110935000000.0,-63162376000.0,-174097376000.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(16.322.273.863),(1.777.816.807),(18.100.090.670),,,,,-16322273863.0,-1777816807.0,-18100090670.0
Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,Thù lao Hội đồng Quản trị,-,-,-,-,(58.457.012),(661.542.988),(720.000.000),,,,,-58457012.0,-661542988.0,-720000000.0
Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,-,-,-,-,(15.257.476.186),(11.367.574.215),(26.625.050.401),,,,,-15257476186.0,-11367574215.0,-26625050401.0
Mua công ty con,Mua công ty con,Mua công ty con,-,-,61.494.842.289,-,-,164.414.618.319,225.909.460.608,,,61494842289.0,,,164414618319.0,225909460608.0
Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,-,-,-,-,9.208.352.975,62.463.739.956,71.672.092.931,,,,,9208352975.0,62463739956.0,71672092931.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,835.287.500.000,525.863.463.548,5.000.000.000,858.116.806.206,759.258.275.912,5.983.526.045.666,3000000000000.0,835287500000.0,525863463548.0,5000000000.0,858116806206.0,759258275912.0,5983526045666.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,880.462.911.763,91.142.019.801,971.604.931.564,,,,,880462911763.0,91142019801.0,971604931564.0
Cổ tức công bố (i),Cổ tức công bố (i),Cổ tức công bố (i),-,-,,,(780.000.000.000),(106.067.442.500),(886.067.442.500),,,,,-780000000000.0,-106067442500.0,-886067442500.0
"Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)","Trích quỹ khen thưởng, phúc lợi (ii)",-,-,-,-,(8.625.261.056),(927.291.217),(9.552.552.273),,,,,-8625261056.0,-927291217.0,-9552552273.0
Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,Thay đổi tỷ lệ lợi ích tại công ty con,-,-,-,-,(39.340.214.521),(100.068.585.479),(139.408.800.000),,,,,-39340214521.0,-100068585479.0,-139408800000.0
Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,Công ty con tái phát hành cổ phiếu quỹ,-,-,-,-,9.555.774.371,66.252.102.994,75.807.877.365,,,,,9555774371.0,66252102994.0,75807877365.0
Thành lập công ty con,Thành lập công ty con,Thành lập công ty con,-,-,-,-,-,4.900.000.000,4.900.000.000,,,,,,4900000000.0,4900000000.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,(265.782.727),(119.885.089),(385.667.816),,,,,-265782727.0,-119885089.0,-385667816.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,835.287.500.000,525.863.463.548,5.000.000.000,919.904.234.036,714.369.194.422,6.000.424.392.006,3000000000000.0,835287500000.0,525863463548.0,5000000000.0,919904234036.0,714369194422.0,6000424392006.0
