row_label_raw,row_label_full,col_0,Số đầu năm,Phần lợi nhuận từ công ty liên kết > Lợi nhuận từ kết quả kinh doanh trong năm,Phần lợi nhuận từ công ty liên kết > Phân phối Quỹ và điều chỉnh khác,Phần lợi nhuận từ công ty liên kết > Cổ tức chia trong năm,Chuyển thành đầu tư vào đơn vị khác,Số cuối năm,numeric__Số đầu năm,numeric__Phần lợi nhuận từ công ty liên kết > Lợi nhuận từ kết quả kinh doanh trong năm,numeric__Phần lợi nhuận từ công ty liên kết > Phân phối Quỹ và điều chỉnh khác,numeric__Phần lợi nhuận từ công ty liên kết > Cổ tức chia trong năm,numeric__Chuyển thành đầu tư vào đơn vị khác,numeric__Số cuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),536.174.180.795,10.282.188.287,(2.676.053.688),(24.264.411.000),-,519.515.904.394,536174180795.0,10282188287.0,-2676053688.0,-24264411000.0,,519515904394.0
Công ty TNHH S.A.S - CTAMAD (ii),Công ty TNHH S.A.S - CTAMAD (ii),Công ty TNHH S.A.S - CTAMAD (ii),263.179.085.098,30.700.167.020,(1.814.680.673),(44.027.224.600),-,248.037.346.845,263179085098.0,30700167020.0,-1814680673.0,-44027224600.0,,248037346845.0
Công ty Cổ phần Hạ tầng GELEX (iii),Công ty Cổ phần Hạ tầng GELEX (iii),Công ty Cổ phần Hạ tầng GELEX (iii),1.795.768.585.392,51.275.552.393,-,,(1.847.044.137.785),-,1795768585392.0,51275552393.0,,,-1847044137785.0,
,,,2.595.121.851.285,92.257.907.700,(4.490.734.361),(68.291.635.600),(1.847.044.137.785),767.553.251.239,2595121851285.0,92257907700.0,-4490734361.0,-68291635600.0,-1847044137785.0,767553251239.0
