row_label_raw,row_label_full,Bên cho vay > Công ty Cổ phần Tập đoàn GELEX,Số dư cuối năm > VND > 600.000.000.000 > 534.375.000.000,Số dư đầu năm > VND > - > 608.125.000.000,"Ngày đáo hạn và kỳ trả lãi > Thời hạn vay 24 tháng, khoản vay cuối cùng đáo hạn tháng 11 năm 2024. Lãi thanh toán mỗi 6 tháng > Thời hạn cho vay 120 tháng, đáo hạn lần cuối vào tháng 12 năm 2029. Lãi vay và gốc vay được trả hàng quý","Lãi suất > %/năm > 10 > 9,5",Tài sản đảm bảo > Tín chấp,numeric__Số dư cuối năm > VND > 600.000.000.000 > 534.375.000.000,numeric__Số dư đầu năm > VND > - > 608.125.000.000,"numeric__Ngày đáo hạn và kỳ trả lãi > Thời hạn vay 24 tháng, khoản vay cuối cùng đáo hạn tháng 11 năm 2024. Lãi thanh toán mỗi 6 tháng > Thời hạn cho vay 120 tháng, đáo hạn lần cuối vào tháng 12 năm 2029. Lãi vay và gốc vay được trả hàng quý","numeric__Lãi suất > %/năm > 10 > 9,5",numeric__Tài sản đảm bảo > Tín chấp
Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,-,800.000.000.000,,,,,800000000000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.134.375.000.000,1.408.125.000.000,,,,1134375000000.0,1408125000000.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,73.750.000.000,73.750.000.000,,,,73750000000.0,73750000000.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.097.500.000.000,1.334.375.000.000,,,,1097500000000.0,1334375000000.0,,,
