row_label_raw,row_label_full,Đơn vị lưu ký > Công ty Cổ phần Chứng khoán MB (*) > Công ty Cổ phần Chứng khoán VIX,Số dư cuối năm > VND > 400.000.000.000 > -,Số dư đầu năm > VND > - > 650.000.000.000,"Ngày đáo hạn và kỳ trả lãi > Tháng 12 năm 2026. Gốc trái phiếu được trả lần lượt theo tỷ lệ 20%, 20% và 60% cho từng thời điểm tròn 12 tháng, 24 tháng kể từ ngày phát hành và ngày đáo hạn.theo là lãi Lãi suất được trả định kỳ 3 tháng. > Tháng 9 năm 2023, lãi trả 6 tháng 1 lần","Lãi suất > %/năm > Năm đầu tính lãi 7,5%, các năm tiếp suất tham chiếu +/- 3%/năm > 9,0",Tài sản đảm bảo > 15.000.000 Cổ phần CAV thuộc sở hữu của Công ty Cổ phần Điện lực GELEX > 30.289.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty Cổ phần Hạ Tàng GELEX.,numeric__Số dư cuối năm > VND > 400.000.000.000 > -,numeric__Số dư đầu năm > VND > - > 650.000.000.000,"numeric__Ngày đáo hạn và kỳ trả lãi > Tháng 12 năm 2026. Gốc trái phiếu được trả lần lượt theo tỷ lệ 20%, 20% và 60% cho từng thời điểm tròn 12 tháng, 24 tháng kể từ ngày phát hành và ngày đáo hạn.theo là lãi Lãi suất được trả định kỳ 3 tháng. > Tháng 9 năm 2023, lãi trả 6 tháng 1 lần","numeric__Lãi suất > %/năm > Năm đầu tính lãi 7,5%, các năm tiếp suất tham chiếu +/- 3%/năm > 9,0",numeric__Tài sản đảm bảo > 15.000.000 Cổ phần CAV thuộc sở hữu của Công ty Cổ phần Điện lực GELEX > 30.289.000 cổ phiếu VGC (Tổng Công ty Viglacera – CTCP) thuộc sở hữu của Công ty Cổ phần Hạ Tàng GELEX.
Công ty Cổ phần Chứng khoán Eurocapital,Công ty Cổ phần Chứng khoán Eurocapital,Công ty Cổ phần Chứng khoán Eurocapital,-,220.000.000.000,,,,,220000000000.0,,,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(4.438.299.157),(10.835.848.143),,,,-4438299157.0,-10835848143.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,395.561.700.843,859.164.151.857,,,,395561700843.0,859164151857.0,,,
Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,160.000.000.000,217.706.007.910,,,,160000000000.0,217706007910.0,,,
Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,Trong đó:- Trái phiếu dài hạn đến hạn trả- Trái phiếu dài hạn,235.561.700.843,641.458.143.947,,,,235561700843.0,641458143947.0,,,
