row_label_raw,row_label_full,Bà Nguyễn Thị Huyền,Trường Ban Kiểm soát,numeric__Trường Ban Kiểm soát
Ông Nguyễn Hoàng Việt,Ông Nguyễn Hoàng Việt,Ông Nguyễn Hoàng Việt,Thành viên Ban Kiểm soát,
Bà Tiêu Thị Dung,Bà Tiêu Thị Dung,Bà Tiêu Thị Dung,Thành viên Ban Kiểm soát,
