row_label_raw,row_label_full,Chỉ tiêu,Sản xuất và kinh doanh thiếtbj điện,Sản xuất và kinh doanh nănglượng (điện),Khác,Tổng,numeric__Sản xuất và kinh doanh thiếtbj điện,numeric__Sản xuất và kinh doanh nănglượng (điện),numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Tại ngày 31 tháng 12 năm 2022 và chonăm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và chonăm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và chonăm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và chonăm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và chonăm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và chonăm tài chính kết thúc cùng ngày,Tại ngày 31 tháng 12 năm 2022 và chonăm tài chính kết thúc cùng ngày,,,,
Doanh thu thuần về bán hàng và cung cấpdịch vụ,Tại ngày 31 tháng 12 năm 2022 và chonăm tài chính kết thúc cùng ngày > Doanh thu thuần về bán hàng và cung cấpdịch vụ,Doanh thu thuần về bán hàng và cung cấpdịch vụ,15.854.034.219.980,783.667.495.017,26.970.822.617,16.664.672.537.614,15854034219980.0,783667495017.0,26970822617.0,16664672537614.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Kết quả > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,(14.110.623.549.989),(431.283.520.443),(8.774.645.696),(14.550.681.716.128),-14110623549989.0,-431283520443.0,-8774645696.0,-14550681716128.0
Lợi nhuận gộp về bán hàng và cung cấpdịch vụ,Kết quả > Lợi nhuận gộp về bán hàng và cung cấpdịch vụ,Lợi nhuận gộp về bán hàng và cung cấpdịch vụ,1.743.410.669.991,352.383.974.574,18.196.176.921,2.113.990.821.486,1743410669991.0,352383974574.0,18196176921.0,2113990821486.0
Chi phí không phân bổ,Kết quả > Chi phí không phân bổ,Chi phí không phân bổ,,,,(993.636.726.863),,,,-993636726863.0
Lợi nhuận thuần trước thuế,Kết quả > Lợi nhuận thuần trước thuế,Lợi nhuận thuần trước thuế,,,,1.120.354.094.623,,,,1120354094623.0
Chi phí thuế thu nhập doanh nghiệp,Kết quả > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(148.639.994.731),,,,-148639994731.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,971.714.099.892,,,,971714099892.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,9.248.016.221.883,5.160.294.432.932,-,14.408.310.654.815,9248016221883.0,5160294432932.0,,14408310654815.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,3.011.312.505.211,,,,3011312505211.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,17.419.623.160.026,,,,17419623160026.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,7.028.789.820.495,3.272.717.378.513,-,10.301.507.199.008,7028789820495.0,3272717378513.0,,10301507199008.0
Nợ phải trả không phân bổ,Tài sản và công nợ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,1.114.672.521.734,,,,1114672521734.0
Tổng Nợ phải trả,Tài sản và công nợ > Tổng Nợ phải trả,Tổng Nợ phải trả,,,,11.416.179.720.742,,,,11416179720742.0
