row_label_raw,row_label_full,Bên cho vay > Ngân hàng TNHH MTV Shinhan Việt Nam > Ngân hàng TMCP Công Thương Việt Nam - Chi nhánh Đông Anh > Ngân hàng TMCP Quân đội - Chi nhánh Đông Anh > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Sở giao dịch 1 > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Quảng Nam > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh TP Hồ Chí Minh,Số dư cuối năm > VND > 53.892.217.553 > 9.981.948.888 > 3.979.849.293 > 3.336.330.409 > -,Số dư đầu năm > VND > 71.856.290.071 > 11.717.940.000 > 5.751.808.129 > - > 40.150.000.000 > 18.710.055.000,"Ngày đáo hạn và kỳ trả lãi > Kỳ hạn vay 72 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 18 tháng 10 năm 2025 > Kỳ hạn vay 84 tháng, lãi vay trả hàng quý, khế ước cuối cùng đáo hạn ngày 04 tháng 8 năm 2028 > Kỳ hạn vay 84 tháng, lãi vay trả hàng tháng, khế ước cuối đáo hạn ngày 05 tháng 9 năm 2026 > Kỳ hạn 84 tháng, bắt đầu từ ngày 30 tháng 12 năm 2022, thời gian ăn hạn 18 tháng, lãi vay trả mỗi 3 tháng","Lãi suất > %/năm > 2,0% cộng lãi suất huy động tiễn gửi VND kỳ hạn 12 tháng > 9,5 > 10,4 > 9,9","Tài sản đảm bảo > Quyền sử dụng đất và máy móc, thiết bị tại nhà máy Cadivi Miền Trung, Khu công nghiệp Hòa Cảm > Quyền tài sản và lợi ích phát sinh từ Dự án mở rộng nhà xưởng tại Khu công nghiệp Nhơn Trạch 3 và mua sắm thiết bị > Toàn bộ hệ thống, máy móc thiết bị, dây chuyển sản xuất cánh tần nhiệt hình thành tử vốn vay, các tài sản theo hợp đồng thế chấp đi kèm. > Tài sản hình thành tử vốn vay",numeric__Số dư cuối năm > VND > 53.892.217.553 > 9.981.948.888 > 3.979.849.293 > 3.336.330.409 > -,numeric__Số dư đầu năm > VND > 71.856.290.071 > 11.717.940.000 > 5.751.808.129 > - > 40.150.000.000 > 18.710.055.000,"numeric__Ngày đáo hạn và kỳ trả lãi > Kỳ hạn vay 72 tháng, lãi vay trả hàng tháng, khế ước cuối cùng đáo hạn ngày 18 tháng 10 năm 2025 > Kỳ hạn vay 84 tháng, lãi vay trả hàng quý, khế ước cuối cùng đáo hạn ngày 04 tháng 8 năm 2028 > Kỳ hạn vay 84 tháng, lãi vay trả hàng tháng, khế ước cuối đáo hạn ngày 05 tháng 9 năm 2026 > Kỳ hạn 84 tháng, bắt đầu từ ngày 30 tháng 12 năm 2022, thời gian ăn hạn 18 tháng, lãi vay trả mỗi 3 tháng","numeric__Lãi suất > %/năm > 2,0% cộng lãi suất huy động tiễn gửi VND kỳ hạn 12 tháng > 9,5 > 10,4 > 9,9","numeric__Tài sản đảm bảo > Quyền sử dụng đất và máy móc, thiết bị tại nhà máy Cadivi Miền Trung, Khu công nghiệp Hòa Cảm > Quyền tài sản và lợi ích phát sinh từ Dự án mở rộng nhà xưởng tại Khu công nghiệp Nhơn Trạch 3 và mua sắm thiết bị > Toàn bộ hệ thống, máy móc thiết bị, dây chuyển sản xuất cánh tần nhiệt hình thành tử vốn vay, các tài sản theo hợp đồng thế chấp đi kèm. > Tài sản hình thành tử vốn vay"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.769.357.377.147,4.722.637.779.439,,,,4769357377147.0,4722637779439.0,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,920.714.104.918,584.548.012.038,,,,920714104918.0,584548012038.0,,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,3.848.643.272.229,4.138.089.767.401,,,,3848643272229.0,4138089767401.0,,,
