row_label_raw,row_label_full,Quyền sử dụng đất,50,numeric__50
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",30,30.0
Máy móc thiết bị,Máy móc thiết bị,Máy móc thiết bị,08 - 25,
