row_label_raw,row_label_full,a. Lãi cho vay và phí phải thu chưa thu được,31/12/2022,31/12/2021,numeric__31/12/2022,numeric__31/12/2021
Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,492.071,399.058,492071.0,399058.0
Tổng,Tổng,Tổng,492.071,399.058,492071.0,399058.0
b. Nợ khó đòi đã xử lý,b. Nợ khó đòi đã xử lý,b. Nợ khó đòi đã xử lý,31/12/2022,31/12/2021,,
Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,b. Nợ khó đòi đã xử lý > Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,1.412.391,1.355.332,1412391.0,1355332.0
Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,b. Nợ khó đòi đã xử lý > Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,2.861.154,2.657.172,2861154.0,2657172.0
Tổng,b. Nợ khó đòi đã xử lý > Tổng,Tổng,4.273.545,4.012.504,4273545.0,4012504.0
c. Tài sản và chứng từ khác,c. Tài sản và chứng từ khác,c. Tài sản và chứng từ khác,31/12/2022,31/12/2021,,
Tài sản khác giữ hộ,c. Tài sản và chứng từ khác > Tài sản khác giữ hộ,Tài sản khác giữ hộ,892.502,979.228,892502.0,979228.0
Các chứng từ có giá trị khác đang bảo quản,c. Tài sản và chứng từ khác > Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,1.577.002,1.533.736,1577002.0,1533736.0
Tổng,c. Tài sản và chứng từ khác > Tổng,Tổng,2.469.504,2.512.964,2469504.0,2512964.0
