row_label_raw,row_label_full,"Cổ tức nhận được trong năm từ góp vốn, mua cổ phần.",Năm 2022 > 6.589,Năm 2021 > 113.527,numeric__Năm 2022 > 6.589,numeric__Năm 2021 > 113.527
Thu từ lợi nhuận công ty con chuyển về,Thu từ lợi nhuận công ty con chuyển về,Thu từ lợi nhuận công ty con chuyển về,3.101,6.611,3101.0,6611.0
"Thu từ góp vốn, đầu tư dài hạn","Thu từ góp vốn, đầu tư dài hạn","Thu từ góp vốn, đầu tư dài hạn",3.488,-,3488.0,
Thu nhập từ bán cổ phần,Thu nhập từ bán cổ phần,Thu nhập từ bán cổ phần,-,106.916,,106916.0
Tổng cộng,Tổng cộng,Tổng cộng,6.589,113.527,6589.0,113527.0
