row_label_raw,row_label_full,Loại tài sản đảm bảo,Giá trị đến > 31/12/2022,Giá trị đến > 31/12/2021,numeric__Giá trị đến > 31/12/2022,numeric__Giá trị đến > 31/12/2021
Bắt động sản,Bắt động sản,Bắt động sản,34.129.584,30.343.269,34129584.0,30343269.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,294.523,347.751,294523.0,347751.0
"Số tiết kiệm, kỳ phiếu và các giấy tờ có giá khác","Số tiết kiệm, kỳ phiếu và các giấy tờ có giá khác","Số tiết kiệm, kỳ phiếu và các giấy tờ có giá khác",1.153.015,1.041.050,1153015.0,1041050.0
"Vật tư, hàng hóa","Vật tư, hàng hóa","Vật tư, hàng hóa",200.495,241.388,200495.0,241388.0
Tài sản thế chấp khác,Tài sản thế chấp khác,Tài sản thế chấp khác,2.029.080,878.889,2029080.0,878889.0
Tổng,Tổng,Tổng,37.806.697,32.852.347,37806697.0,32852347.0
