row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_2,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_3,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_4,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Đơn vị tính: Triệu Đồng Việt Nam,Năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Đơn vị tính: Triệu Đồng Việt Nam_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_2,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_3,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022_4,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Đơn vị tính: Triệu Đồng Việt Nam,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2022 > Đơn vị tính: Triệu Đồng Việt Nam_1
10. Tài sản cố định hữu hình,10. Tài sản cố định hữu hình,10. Tài sản cố định hữu hình,10. Tài sản cố định hữu hình,10. Tài sản cố định hữu hình,10. Tài sản cố định hữu hình,10. Tài sản cố định hữu hình,10. Tài sản cố định hữu hình,10. Tài sản cố định hữu hình,,,,,,
- Tăng giảm tài sản cố định hữu hình năm 2022,- Tăng giảm tài sản cố định hữu hình năm 2022,- Tăng giảm tài sản cố định hữu hình năm 2022,- Tăng giảm tài sản cố định hữu hình năm 2022,- Tăng giảm tài sản cố định hữu hình năm 2022,- Tăng giảm tài sản cố định hữu hình năm 2022,- Tăng giảm tài sản cố định hữu hình năm 2022,- Tăng giảm tài sản cố định hữu hình năm 2022,- Tăng giảm tài sản cố định hữu hình năm 2022,,,,,,
Khoản mục,Khoản mục,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dân,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,1.078.477,80.205,55.355,53.934,17.185,1.285.156,1078477.0,80205.0,55355.0,53934.0,17185.0,1285156.0
- Mua trong năm,Nguyên giá TSCĐ hữu hình > - Mua trong năm,- Mua trong năm,-,2.040,-,34.714,883,37.637,,2040.0,,34714.0,883.0,37637.0
- Tăng do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Tăng do điều chỉnh,- Tăng do điều chỉnh,-,394,23,109,492,1.018,,394.0,23.0,109.0,492.0,1018.0
- Tăng do điều chuyển,Nguyên giá TSCĐ hữu hình > - Tăng do điều chuyển,- Tăng do điều chuyển,-,-,936,34,-,970,,,936.0,34.0,,970.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(35),0,(273),(413),(721),,-35.0,0.0,-273.0,-413.0,-721.0
- Giảm do điều chuyển,Nguyên giá TSCĐ hữu hình > - Giảm do điều chuyển,- Giảm do điều chuyển,-,-,(936),(34),-,(970),,,-936.0,-34.0,,-970.0
- Giảm do điều chỉnh,Nguyên giá TSCĐ hữu hình > - Giảm do điều chỉnh,- Giảm do điều chỉnh,-,(430),(23),(108),(457),(1.018),,-430.0,-23.0,-108.0,-457.0,-1018.0
Số dư cuối năm,Nguyên giá TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,1.078.477,82.174,55.355,88.376,17.690,1.322.072,1078477.0,82174.0,55355.0,88376.0,17690.0,1322072.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,378.366,69.688,52.327,39.280,11.571,551.232,378366.0,69688.0,52327.0,39280.0,11571.0,551232.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế > - Hao mòn trong năm,- Hao mòn trong năm,42.869,2.636,1.253,6.227,1.764,54.749,42869.0,2636.0,1253.0,6227.0,1764.0,54749.0
- Tăng do điều chuyển,Giá trị hao mòn lũy kế > - Tăng do điều chuyển,- Tăng do điều chuyển,-,-,936,7,-,943,,,936.0,7.0,,943.0
- Tăng do điều chỉnh,Giá trị hao mòn lũy kế > - Tăng do điều chỉnh,- Tăng do điều chỉnh,8,24,-,42,50,124,8.0,24.0,,42.0,50.0,124.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(35),-,(273),(413),(721),,-35.0,,-273.0,-413.0,-721.0
- Giảm do điều chuyển,Giá trị hao mòn lũy kế > - Giảm do điều chuyển,- Giảm do điều chuyển,-,-,(936),(7),-,(943),,,-936.0,-7.0,,-943.0
- Giảm do điều chỉnh,Giá trị hao mòn lũy kế > - Giảm do điều chỉnh,- Giảm do điều chỉnh,(8),(24),-,(77),(16),(125),-8.0,-24.0,,-77.0,-16.0,-125.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,421.235,72.289,53.580,45.199,12.956,605.259,421235.0,72289.0,53580.0,45199.0,12956.0,605259.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,700.111,10.517,3.028,14.654,5.614,733.924,700111.0,10517.0,3028.0,14654.0,5614.0,733924.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,657.242,9.885,1.775,43.177,4.734,716.813,657242.0,9885.0,1775.0,43177.0,4734.0,716813.0
