row_label_raw,row_label_full,31. Chi phí hoạt động,31. Chi phí hoạt động_1,31. Chi phí hoạt động_2,numeric__31. Chi phí hoạt động_1,numeric__31. Chi phí hoạt động_2
,,,Năm 2022,Năm 2021,,
"5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",17.789,18.069,17789.0,18069.0
6. Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),6. Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),6. Chi phí dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng; chi phí dự phòng giảm giá chứng khoán),629,15.740,629.0,15740.0
Tổng cộng,Tổng cộng,Tổng cộng,562.521,565.890,562521.0,565890.0
32. Chi phí thuế thu nhập doanh nghiệp,32. Chi phí thuế thu nhập doanh nghiệp,32. Chi phí thuế thu nhập doanh nghiệp,32. Chi phí thuế thu nhập doanh nghiệp,32. Chi phí thuế thu nhập doanh nghiệp,,
,,,Năm 2022,Năm 2021,,
32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành:,,
1. Lợi nhuận trước thuế TNDN,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 1. Lợi nhuận trước thuế TNDN,1. Lợi nhuận trước thuế TNDN,236.231,152.447,236231.0,152447.0
2. Các khoản mục điều chỉnh thu nhập chịu thuế:(Trừ) thu nhập được miễn thuế TNDN:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 2. Các khoản mục điều chỉnh thu nhập chịu thuế:(Trừ) thu nhập được miễn thuế TNDN:,2. Các khoản mục điều chỉnh thu nhập chịu thuế:(Trừ) thu nhập được miễn thuế TNDN:,(6.589),(6.611),-6589.0,-6611.0
Thu nhập từ góp vốn liên doanh mua cổ phần,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > Thu nhập từ góp vốn liên doanh mua cổ phần,Thu nhập từ góp vốn liên doanh mua cổ phần,(3.488),-,-3488.0,
Thu từ lợi nhuận công ty con chuyển về,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > Thu từ lợi nhuận công ty con chuyển về,Thu từ lợi nhuận công ty con chuyển về,(3.101),(6.611),-3101.0,-6611.0
Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,Cộng chi phí không được khấu trừ khi xác định lợi nhuận tính thuế:,1.567,1.331,1567.0,1331.0
3. Thu nhập chịu thuế,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 3. Thu nhập chịu thuế,3. Thu nhập chịu thuế,231.209,147.167,231209.0,147167.0
4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,4. Chi phí thuế TNDN tính trên thu nhập chịu thuế năm hiện hành,46.242,29.434,46242.0,29434.0
5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,5. Điều chỉnh chi phí thuế thu nhập doanh nghiệp của các năm trước vào chi phí thuế thu nhập hiện hành năm này,-,327,,327.0
6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,32.1. Chi phí thuế thu nhập doanh nghiệp hiện hành: > 6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,6. Tổng chi phí thuế thu nhập doanh nghiệp hiện hành,46.242,29.761,46242.0,29761.0
