row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2017 VND,01/01/2017 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__01/01/2017 VND
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,3.297.982.197.168,3.084.461.835.360,,100.0,,3297982197168.0,3084461835360.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,6,373.765.558.712,96.808.960.822,,110.0,6.0,373765558712.0,96808960822.0
1.,1.,1.,Tiền,111,,362.212.184.207,55.799.705.616,,111.0,,362212184207.0,55799705616.0
2.,2.,2.,Các khoản tương đương tiền,112,,11.553.374.505,41.009.255.206,,112.0,,11553374505.0,41009255206.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,297.462.372.053,580.094.590.556,,120.0,,297462372053.0,580094590556.0
1.,1.,1.,Chứng khoán kinh doanh,121,7,282.423.265.980,264.000.000.000,,121.0,7.0,282423265980.0,264000000000.0
2.,2.,2.,Đầu tư nắm giữ đến ngày đáo hạn,123,8.a,15.039.106.073,316.094.590.556,,123.0,,15039106073.0,316094590556.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,2.056.915.341.316,1.990.008.870.087,,130.0,,2056915341316.0,1990008870087.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,9,702.722.858.712,601.506.674.812,,131.0,9.0,702722858712.0,601506674812.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,10,253.598.813.404,249.464.982.797,,132.0,10.0,253598813404.0,249464982797.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,11.a,989.399.424.338,900.157.764.619,,135.0,,989399424338.0,900157764619.0
4.,4.,4.,Phải thu ngắn hạn khác,136,12.a,133.299.064.653,253.259.588.778,,136.0,,133299064653.0,253259588778.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,13,(22.104.819.791),(14.380.140.919),,137.0,13.0,-22104819791.0,-14380140919.0
IV.,IV.,IV.,Hàng tồn kho,140,14,541.211.555.289,413.496.716.240,,140.0,14.0,541211555289.0,413496716240.0
1.,1.,1.,Hàng tồn kho,141,,561.279.373.724,430.989.454.152,,141.0,,561279373724.0,430989454152.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(20.067.818.435),(17.492.737.912),,149.0,,-20067818435.0,-17492737912.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,28.627.369.798,4.052.697.655,,150.0,,28627369798.0,4052697655.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,15.a,66.918.097,374.285.506,,151.0,,66918097.0,374285506.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,28.196.516.906,3.677.359.715,,152.0,,28196516906.0,3677359715.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,24,363.934.795,1.052.434,,153.0,24.0,363934795.0,1052434.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,5.014.509.234.882,3.921.186.265.659,,200.0,,5014509234882.0,3921186265659.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,1.252.611.212.942,248.386.304.573,,210.0,,1252611212942.0,248386304573.0
