row_label_raw,row_label_full,Bàng cân đối kế toán,Số liệu tại ngày31/12/2016VND,Số liệu tại ngày31/12/2016(Dã hồi tố)VND,Chênh lệchVND,Ghi chú,numeric__Số liệu tại ngày31/12/2016VND,numeric__Số liệu tại ngày31/12/2016(Dã hồi tố)VND,numeric__Chênh lệchVND,numeric__Ghi chú
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,2.505.050.232.608,2.499.786.466.891,(5.263.765.717),(1),2505050232608.0,2499786466891.0,-5263765717.0,-1.0
- Nguyên giả,- Nguyên giả,- Nguyên giả,2.947.624.020.324,2.947.624.020.324,-,,2947624020324.0,2947624020324.0,,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,(442.573.787.716),(447.837.553.433),(5.263.765.717),,-442573787716.0,-447837553433.0,-5263765717.0,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,17.638.601.978,17.582.495.106,(56.106.872),(1),17638601978.0,17582495106.0,-56106872.0,-1.0
Thuế và các khoản khác phải nộp,Thuế và các khoản khác phải nộp,Thuế và các khoản khác phải nộp,72.177.785.538,71.432.694.256,(745.091.282),(1),72177785538.0,71432694256.0,-745091282.0,-1.0
Nhà nước,Nhà nước,Nhà nước,,,,,,,,
Thuế thu nhập hoãn lại phải trả,Nhà nước > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,4.660.288.530,5.475.243.634,814.955.104,(1),4660288530.0,5475243634.0,814955104.0,-1.0
Lợi nhuận sau thuế chưa phân phối,Nhà nước > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,130.005.849.689,126.085.637.834,(3.920.211.855),(1),130005849689.0,126085637834.0,-3920211855.0,-1.0
- LNST CPP lũy kế đến cuối kỳ trước,Nhà nước > - LNST CPP lũy kế đến cuối kỳ trước,- LNST CPP lũy kế đến cuối kỳ trước,65.230.076.884,68.723.267.932,3.493.191.048,(1),65230076884.0,68723267932.0,3493191048.0,-1.0
- LNST chưa phân phối kỳ này,Nhà nước > - LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,64.775.772.805,57.362.369.902,(7.413.402.903),(1),64775772805.0,57362369902.0,-7413402903.0,-1.0
Lợi ích cố đông không kiểm soát,Nhà nước > Lợi ích cố đông không kiểm soát,Lợi ích cố đông không kiểm soát,157.984.126.744,156.514.602.188,(1.469.524.556),(1),157984126744.0,156514602188.0,-1469524556.0,-1.0
Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Báo cáo kết quả kinh doanh,Năm 2016VND,Năm 2016(Dã hồi tố)VND,Chênh lệchVND,Ghi chú,,,,
Giá vốn hàng bán,Báo cáo kết quả kinh doanh > Giá vốn hàng bán,Giá vốn hàng bán,2.004.465.067.580,2.014.660.932.536,10.195.864.956,(2),2004465067580.0,2014660932536.0,10195864956.0,-2.0
Tổng lợi nhuận kế toán trước thuế,Báo cáo kết quả kinh doanh > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,95.720.680.341,85.524.815.385,(10.195.864.956),(2),95720680341.0,85524815385.0,-10195864956.0,-2.0
Chi phí thuế TNDN hiện hành,Báo cáo kết quả kinh doanh > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,27.390.691.416,25.877.098.103,(1.513.593.313),(2),27390691416.0,25877098103.0,-1513593313.0,-2.0
Chi phí thuế TNDN hoãn lại,Báo cáo kết quả kinh doanh > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,2.602.736.346,4.242.300.353,1.639.564.007,(2),2602736346.0,4242300353.0,1639564007.0,-2.0
Lợi nhuận sau thuế TNDN,Báo cáo kết quả kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,65.727.252.579,55.405.416.929,(10.321.835.650),(2),65727252579.0,55405416929.0,-10321835650.0,-2.0
- Lợi nhuận sau thuế của cổ đôngcông ty mẹ,Báo cáo kết quả kinh doanh > - Lợi nhuận sau thuế của cổ đôngcông ty mẹ,- Lợi nhuận sau thuế của cổ đôngcông ty mẹ,60.218.634.770,52.673.583.537,(7.545.051.233),(2),60218634770.0,52673583537.0,-7545051233.0,-2.0
- Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,Báo cáo kết quả kinh doanh > - Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,- Lợi nhuận sau thuế của cổ đôngkhông kiểm soát,5.508.617.809,2.731.833.392,(2.776.784.417),(2),5508617809.0,2731833392.0,-2776784417.0,-2.0
Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Báo cáo lưu chuyển tiền tệ,Năm 2016VND,Năm 2016(Dã hồi tố)VND,Chênh lệchVND,Ghi chú,,,,
Lợi nhuận trước thuế,Báo cáo lưu chuyển tiền tệ > Lợi nhuận trước thuế,Lợi nhuận trước thuế,95.720.680.341,85.524.815.385,(10.195.864.956),(2),95720680341.0,85524815385.0,-10195864956.0,-2.0
Khẩu hao TSCĐ và BĐSDĐT,Báo cáo lưu chuyển tiền tệ > Khẩu hao TSCĐ và BĐSDĐT,Khẩu hao TSCĐ và BĐSDĐT,137.150.122.302,147.345.987.258,10.195.864.956,(2),137150122302.0,147345987258.0,10195864956.0,-2.0
