row_label_raw,row_label_full,Chỉ tiêu,"Bán hàng hóa, linh kiện điện tử","Bán gỗ, sản phẩm từ gỗ, cao su, nông nghiệp",Kinh doanh phân bón,"Công trình xây dựng, thu phí BOT",Dịch vụ bến xe và xe buýt,Hoạt động kinh doanh bắt động sản,"Hoạt động khác (cho thuê tài sản, khách sạn...)",Loại trừ,Đơn vị tính: VND Tổng cộng,"numeric__Bán hàng hóa, linh kiện điện tử","numeric__Bán gỗ, sản phẩm từ gỗ, cao su, nông nghiệp",numeric__Kinh doanh phân bón,"numeric__Công trình xây dựng, thu phí BOT",numeric__Dịch vụ bến xe và xe buýt,numeric__Hoạt động kinh doanh bắt động sản,"numeric__Hoạt động khác (cho thuê tài sản, khách sạn...)",numeric__Loại trừ,numeric__Đơn vị tính: VND Tổng cộng
Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,1.856.884.146.469(265.606.500.081),77.002.403.848,378.781.061.700,570.497.824.407(177.813.678.156),638.190.688,-,13.705.770.516(2.099.999.996),-,2.897.509.397.628,,77002403848.0,378781061700.0,,638190688.0,,,,2897509397628.0
Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,,,,,,,,445.520.178.233,,,,,,,,,445520178233.0,
Giá vốn của bộ phận,Giá vốn của bộ phận,Giá vốn của bộ phận,1.657.223.524.543,56.705.726.916,372.020.317.916,311.902.392.125,455.947.274,-,11.310.146.908,-,2.409.618.055.682,1657223524543.0,56705726916.0,372020317916.0,311902392125.0,455947274.0,,11310146908.0,,2409618055682.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,199.660.621.926,20.296.676.932,6.760.743.784,258.595.432.282,182.243.414,-,2.395.623.608,-,487.891.341.946,199660621926.0,20296676932.0,6760743784.0,258595432282.0,182243414.0,,2395623608.0,,487891341946.0
Tải sản bộ phận tại ngày 31/12/2017,Tải sản bộ phận tại ngày 31/12/2017,Tải sản bộ phận tại ngày 31/12/2017,1.932.928.614.075,1.293.564.140.379,59.249.527.402,3.661.897.335.177,720.148.486,670.041.076.062,682.316.854.184,-,8.300.717.695.765,1932928614075.0,1293564140379.0,59249527402.0,3661897335177.0,720148486.0,670041076062.0,682316854184.0,,8300717695765.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,,,,,,,11.773.736.285,,,,,,,,,11773736285.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,,8.312.491.432.050,,,,,,,,,8312491432050.0
Nợ phải trả bộ phận tại ngày 31/12/2017,Nợ phải trả bộ phận tại ngày 31/12/2017,Nợ phải trả bộ phận tại ngày 31/12/2017,1.002.118.991.120,662.202.646.384,56.954.872.636,2.814.373.655.628,168.419.774,210.918.827.092,166.349.401.171,-,4.913.086.813.805,1002118991120.0,662202646384.0,56954872636.0,2814373655628.0,168419774.0,210918827092.0,166349401171.0,,4913086813805.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,47.644.954.297,,,,,,,,,47644954297.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,4.960.731.768.102,,,,,,,,,4960731768102.0
Khẩu hao và chi phí phân bổ,Khẩu hao và chi phí phân bổ,Khẩu hao và chi phí phân bổ,58.233.220.797,3.905.252.881,889.729.090,88.338.888.430,23.056.440,2.313.179.956,6.341.175.511,-,160.044.503.105,58233220797.0,3905252881.0,889729090.0,88338888430.0,23056440.0,2313179956.0,6341175511.0,,160044503105.0
- Khẩu hao,- Khẩu hao,- Khẩu hao,57.941.439.554,3.786.241.251,606.625.803,86.375.807.769,,529.929.006,6.129.093.940,-,155.369.137.323,57941439554.0,3786241251.0,606625803.0,86375807769.0,,529929006.0,6129093940.0,,155369137323.0
"- Chi phí phân bổ142,242","- Chi phí phân bổ142,242","- Chi phí phân bổ142,242",291.781.243,119.011.630,283.103.287,1.963.080.661,23.056.440,1.783.250.950,212.081.571,-,4.675.365.782,291781243.0,119011630.0,283103287.0,1963080661.0,23056440.0,1783250950.0,212081571.0,,4675365782.0
