row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2017 VND,01/01/2017 VND,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2017 VND,numeric__01/01/2017 VND
C.,C.,C.,NỘ PHẢI TRẢ,300,,4.960.731.768.102,4.352.355.040.662,,300.0,,4960731768102.0,4352355040662.0
I.,I.,I.,Nợ ngắn hạn,310,,1.759.611.933.187,1.469.761.413.094,,310.0,,1759611933187.0,1469761413094.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,22,495.283.480.952,411.726.186.278,,311.0,22.0,495283480952.0,411726186278.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,23,88.275.687.487,87.537.482.335,,312.0,23.0,88275687487.0,87537482335.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,24,104.802.680.195,71.432.694.256,,313.0,24.0,104802680195.0,71432694256.0
4.,4.,4.,Phải trả người lao động,314,,37.975.832.415,26.744.859.163,,314.0,,37975832415.0,26744859163.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,25,156.947.658.897,67.566.339.431,,315.0,25.0,156947658897.0,67566339431.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,26,122.727.273,585.354.550,,318.0,26.0,122727273.0,585354550.0
7.,7.,7.,Phải trả ngắn hạn khác,319,27.a,133.260.441.440,109.573.887.271,,319.0,,133260441440.0,109573887271.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,28.a,743.495.289.336,695.132.641.618,,320.0,,743495289336.0,695132641618.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,(551.864.808),(538.031.808),,322.0,,-551864808.0,-538031808.0
II.,II.,II.,Nợ dài hạn,330,,3.201.119.834.915,2.882.593.627.568,,330.0,,3201119834915.0,2882593627568.0
1.,1.,1.,Phải trả dài hạn khác,337,27.b,4.000.000.000,7.746.335.250,,337.0,,4000000000.0,7746335250.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,28.b,3.181.786.535.905,2.867.395.107.764,,338.0,,3181786535905.0,2867395107764.0
3.,3.,3.,Thuế thu nhập hoãn lại phải trả,341,29,12.091.150.520,5.475.243.634,,341.0,29.0,12091150520.0,5475243634.0
4.,4.,4.,Dự phòng phải trả dài hạn,342,30,3.242.148.490,1.976.940.920,,342.0,30.0,3242148490.0,1976940920.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,3.351.759.663.948,2.653.293.060.357,,400.0,,3351759663948.0,2653293060357.0
I.,I.,I.,Vốn chủ sở hữu,410,,3.351.759.663.948,2.653.293.060.357,,410.0,,3351759663948.0,2653293060357.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,31,2.850.578.150.000,2.301.443.420.000,,411.0,31.0,2850578150000.0,2301443420000.0
,,,- Có phiếu phố thông có quyền biểu quyết,411a,,2.850.578.150.000,2.301.443.420.000,,,,2850578150000.0,2301443420000.0
,,,- Có phiếu ưu đãi,411b,,-,-,,,,,
2.,2.,2.,Thặng dư vốn cổ phần,412,31,50.510.908.328,50.512.788.328,,412.0,31.0,50510908328.0,50512788328.0
3.,3.,3.,Chênh lệch tỷ giá hối đoái,417,31,12.678.454.700,12.540.175.048,,417.0,31.0,12678454700.0,12540175048.0
4.,4.,4.,Quỹ đầu tư phát triển,418,31,6.196.436.959,6.196.436.959,,418.0,31.0,6196436959.0,6196436959.0
5.,5.,5.,Lợi nhuận sau thuế chưa phân phối,421,31,180.792.184.488,126.085.637.834,,421.0,31.0,180792184488.0,126085637834.0
,,,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,123.485.602.592,68.723.267.932,,,,123485602592.0,68723267932.0
,,,- LNST chưa phân phối kỳ này,421b,,57.306.581.896,57.362.369.902,,,,57306581896.0,57362369902.0
6.,6.,6.,Lợi ích cổ đông không kiểm soát,429,32,251.003.529.473,156.514.602.188,,429.0,32.0,251003529473.0,156514602188.0
II.,II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,430,,8.312.491.432.050,7.005.648.101.019,,430.0,,8312491432050.0,7005648101019.0
