row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),Nhà cửa vật kiến trúc,Cộng,numeric__Quyền sử dụng đất (*),numeric__Nhà cửa vật kiến trúc,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,66.720.417.973,57.490.038.178,124.210.456.151,66720417973.0,57490038178.0,124210456151.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Chuyển qua TSCĐ HH,"Thanh lý, nhượng bán > Chuyển qua TSCĐ HH",Chuyển qua TSCĐ HH,-,1.340.344.287,1.340.344.287,,1340344287.0,1340344287.0
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,66.720.417.973,56.149.693.891,122.870.111.864,66720417973.0,56149693891.0,122870111864.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,15.993.939.494,15.993.939.494,,15993939494.0,15993939494.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,2.135.727.567,2.135.727.567,,2135727567.0,2135727567.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,,,
Chuyển qua TSCĐ HH,"Thanh lý, nhượng bán > Chuyển qua TSCĐ HH",Chuyển qua TSCĐ HH,-,585.283.658,585.283.658,,585283658.0,585283658.0
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,-,17.544.383.403,17.544.383.403,,17544383403.0,17544383403.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,66.720.417.973,41.496.098.684,108.216.516.657,66720417973.0,41496098684.0,108216516657.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,66.720.417.973,38.605.310.488,105.325.728.461,66720417973.0,38605310488.0,105325728461.0
