row_label_raw,row_label_full,col_0,01/01/2017 > Giá gốc trái phiếu,01/01/2017 > Tổng chi phí phát hành,01/01/2017 > Chi phí phát hành phân bổ,01/01/2017 > Giá trị trái phiếu cuối kỳ Lãi suất,numeric__01/01/2017 > Giá gốc trái phiếu,numeric__01/01/2017 > Tổng chi phí phát hành,numeric__01/01/2017 > Chi phí phát hành phân bổ,numeric__01/01/2017 > Giá trị trái phiếu cuối kỳ Lãi suất
Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,Loại phát hành theo mệnh giá,,,,
- Trái phiếu kỳ hạn 5 năm,Loại phát hành theo mệnh giá > - Trái phiếu kỳ hạn 5 năm,- Trái phiếu kỳ hạn 5 năm,366.000.000.000,6.518.829.294,2.603.370.299,362.084.541.005 11% kỳ đầu và thả nồi từ kỳ thứ 2,366000000000.0,6518829294.0,2603370299.0,
- Trái phiếu kỳ hạn 3 năm,Loại phát hành theo mệnh giá > - Trái phiếu kỳ hạn 3 năm,- Trái phiếu kỳ hạn 3 năm,134.000.000.000,2.386.675.206,1.589.423.937,133.202.748.731 11% kỳ đầu và thả nồi từ kỳ thứ 2,134000000000.0,2386675206.0,1589423937.0,
- Trái phiếu phải trả do không chuyển đổi,Loại phát hành theo mệnh giá > - Trái phiếu phải trả do không chuyển đổi,- Trái phiếu phải trả do không chuyển đổi,374.500.000,-,-,374.500.000 13%/năm,374500000.0,,,
Cộng,Loại phát hành theo mệnh giá > Cộng,Cộng,500.374.500.000,8.905.504.500,4.192.794.236,495.661.789.736,500374500000.0,8905504500.0,4192794236.0,495661789736.0
