row_label_raw,row_label_full,Loại tài sản,Thời gian khấu hao (năm),numeric__Thời gian khấu hao (năm)
Phần mềm kế toán,Phần mềm kế toán,Phần mềm kế toán,7,7.0
Chi phí triển khai,Chi phí triển khai,Chi phí triển khai,\( \mathcal{A} \),
Quyền khai thác mỏ đá Đắk Wei,Chi phí triển khai > Quyền khai thác mỏ đá Đắk Wei,Quyền khai thác mỏ đá Đắk Wei,17,17.0
Quan hệ khách hàng khế ước,Chi phí triển khai > Quan hệ khách hàng khế ước,Quan hệ khách hàng khế ước,10,10.0
