row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2017 VND,Năm 2016 VND,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2017 VND,numeric__Năm 2016 VND
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,34,2.913.844.748.638,2.490.622.091.974,,1.0,34.0,2913844748638.0,2490622091974.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,35,16.335.351.010,13.340.460.925,,2.0,35.0,16335351010.0,13340460925.0
3.,3.,3.,Doanh thu thuần về bán hàng và c.cấp dịch vụ,10,,2.897.509.397.628,2.477.281.631.049,,10.0,,2897509397628.0,2477281631049.0
4.,4.,4.,Giá vốn hàng bán,11,36,2.409.618.055.682,2.014.660.932.536,,11.0,36.0,2409618055682.0,2014660932536.0
5.,5.,5.,Lợi nhuận gộp bán hàng và c.cấp dịch vụ,20,,487.891.341.946,462.620.698.513,,20.0,,487891341946.0,462620698513.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,37,153.392.064.537,87.908.305.215,,21.0,37.0,153392064537.0,87908305215.0
7.,7.,7.,Chi phí tài chính,22,38,352.360.756.197,309.517.738.879,,22.0,38.0,352360756197.0,309517738879.0
,,,Trong đó: Chi phí lãi vay,23,,350.324.190.859,295.657.059.415,,23.0,,350324190859.0,295657059415.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty l.doanh, l.két",24,,204.161.456,164.488.199,,24.0,,204161456.0,164488199.0
9.,9.,9.,Chi phí bán hàng,25,39.a,41.173.480.017,18.970.902.120,,25.0,,41173480017.0,18970902120.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,39.b,171.850.630.786,131.360.007.832,,26.0,,171850630786.0,131360007832.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,76.102.700.939,90.844.843.096,,30.0,,76102700939.0,90844843096.0
12.,12.,12.,Thu nhập khác,31,40,21.643.901.670,2.916.680.824,,31.0,40.0,21643901670.0,2916680824.0
13.,13.,13.,Chi phí khác,32,41,8.994.165.515,8.236.708.535,,32.0,41.0,8994165515.0,8236708535.0
14.,14.,14.,Lợi nhuận khác,40,,12.649.736.155,(5.320.027.711),,40.0,,12649736155.0,-5320027711.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,88.752.437.094,85.524.815.385,,50.0,,88752437094.0,85524815385.0
16.,16.,16.,Chi phí thuế TNDN hiện hành,51,42,23.586.932.274,25.877.098.103,,51.0,42.0,23586932274.0,25877098103.0
17.,17.,17.,Chi phí thuế TNDN hoãn lại,52,,5.803.631.236,4.242.300.353,,52.0,,5803631236.0,4242300353.0
18.,18.,18.,Lợi nhuận sau thuế TNDN,60,,59.361.873.584,55.405.416.929,,60.0,,59361873584.0,55405416929.0
18.1.,18.1.,18.1.,Lợi nhuận sau thuế của công ty mẹ,61,,57.306.581.896,52.673.583.537,,61.0,,57306581896.0,52673583537.0
18.2.,18.2.,18.2.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,2.055.291.688,2.731.833.392,,62.0,,2055291688.0,2731833392.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,43,206,238,,70.0,43.0,206.0,238.0
20.,20.,20.,Lãi suy giảm trên cổ phiếu,71,43,206,238,,71.0,43.0,206.0,238.0
