row_label_raw,row_label_full,31/12/2017,Không quá 1 năm,Trên 1 năm,Đơn vị tính: VND Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Đơn vị tính: VND Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,373.765.558.712,-,373.765.558.712,373765558712.0,,373765558712.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,282.423.265.980,-,282.423.265.980,282423265980.0,,282423265980.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,15.039.106.073,-,15.039.106.073,15039106073.0,,15039106073.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,692.608.912.507,-,692.608.912.507,692608912507.0,,692608912507.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,984.716.912.864,752.538.483.608,1.737.255.396.472,984716912864.0,752538483608.0,1737255396472.0
Phải thu khác,Phải thu khác,Phải thu khác,118.106.857.294,500.072.729.334,618.179.586.628,118106857294.0,500072729334.0,618179586628.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,2.220.000.000,2.220.000.000,,2220000000.0,2220000000.0
Cộng,Cộng,Cộng,2.466.660.613.430,1.254.831.212.942,3.721.491.826.372,2466660613430.0,1254831212942.0,3721491826372.0
01/01/2017,01/01/2017,01/01/2017,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2017 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,96.808.960.822,-,96.808.960.822,96808960822.0,,96808960822.0
Chứng khoán kinh doanh,01/01/2017 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,264.000.000.000,-,264.000.000.000,264000000000.0,,264000000000.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2017 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,316.094.590.556,-,316.094.590.556,316094590556.0,,316094590556.0
Phải thu khách hàng,01/01/2017 > Phải thu khách hàng,Phải thu khách hàng,596.275.084.202,-,596.275.084.202,596275084202.0,,596275084202.0
Phải thu về cho vay,01/01/2017 > Phải thu về cho vay,Phải thu về cho vay,896.472.564.619,225.647.099.300,1.122.119.663.919,896472564619.0,225647099300.0,1122119663919.0
Phải thu khác,01/01/2017 > Phải thu khác,Phải thu khác,232.084.849.992,22.739.205.273,254.824.055.265,232084849992.0,22739205273.0,254824055265.0
Đầu tư góp vốn vào đơn vị khác,01/01/2017 > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,-,29.850.959.106,29.850.959.106,,29850959106.0,29850959106.0
Cộng,01/01/2017 > Cộng,Cộng,2.401.736.050.191,278.237.263.679,2.679.973.313.870,2401736050191.0,278237263679.0,2679973313870.0
