row_label_raw,row_label_full,Chỉ tiêu,"Bán hàng hóa, linh kiện điện tử","Bán gỗ, Sản phẩm từ gỗ, cao su, NN",Kinh doanh Phân bón,"Hoạt động xây dựng, thu phí BOT",Dịch vụ bến xe và xe buýt,Hoạt động khai thác đá,"Dịch vụ khác cho thuê TS , khách sạn...",Tổng cộng,"numeric__Bán hàng hóa, linh kiện điện tử","numeric__Bán gỗ, Sản phẩm từ gỗ, cao su, NN",numeric__Kinh doanh Phân bón,"numeric__Hoạt động xây dựng, thu phí BOT",numeric__Dịch vụ bến xe và xe buýt,numeric__Hoạt động khai thác đá,"numeric__Dịch vụ khác cho thuê TS , khách sạn...",numeric__Tổng cộng
Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,Doanh thu thuần tử bán hàng ra bên ngoài,1.331.547.802.000,34.499.288.491,495.417.104.700,576.242.262.341,5.464.149.047,2.970.394.181,31.140.630.289,2.477.281.631.049,1331547802000.0,34499288491.0,495417104700.0,576242262341.0,5464149047.0,2970394181.0,31140630289.0,2477281631049.0
Giá vốn của bộ phận,Giá vốn của bộ phận,Giá vốn của bộ phận,1.198.827.153.611,32.292.862.742,490.403.927.389,262.422.069.385,2.110.211.114,2.387.240.398,26.217.467.897,2.014.660.932.536,1198827153611.0,32292862742.0,490403927389.0,262422069385.0,2110211114.0,2387240398.0,26217467897.0,2014660932536.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,132.720.648.389,2.206.425.749,5.013.177.311,313.820.192.956,3.353.937.933,583.153.783,4.923.162.392,462.620.698.513,132720648389.0,2206425749.0,5013177311.0,313820192956.0,3353937933.0,583153783.0,4923162392.0,462620698513.0
Tài sản bộ phận tại ngày 31/12/2016,Tài sản bộ phận tại ngày 31/12/2016,Tài sản bộ phận tại ngày 31/12/2016,1.658.177.704.455,2.236.977.678.753,35.338.122.923,2.740.482.647.450,499.854.255,1.977.709.418,278.281.139.122,6.951.734.856.376,1658177704455.0,2236977678753.0,35338122923.0,2740482647450.0,499854255.0,1977709418.0,278281139122.0,6951734856376.0
Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,Tài sản không phân bổ Tổng tài sản,,,,,,,,53.913.244.643 7.005.648.101.019,,,,,,,,
Nợ phải trả bộ phận tại ngày 31/12/2016,Tài sản không phân bổ Tổng tài sản > Nợ phải trả bộ phận tại ngày 31/12/2016,Nợ phải trả bộ phận tại ngày 31/12/2016,533.543.729.846,1.281.343.965.145,1.500.001,2.387.753.900.281,179.304.338,316.100.000,121.069.610.551,4.324.208.110.162,533543729846.0,1281343965145.0,1500001.0,2387753900281.0,179304338.0,316100000.0,121069610551.0,4324208110162.0
Nợ phải trả không phân bổ Tổng nợ phải trả,Nợ phải trả không phân bổ Tổng nợ phải trả,Nợ phải trả không phân bổ Tổng nợ phải trả,,,,,,,,28.146.930.499 4.352.355.040.661,,,,,,,,
Khẩu hao và chi phí phân bổ - Khẩu hao,Nợ phải trả không phân bổ Tổng nợ phải trả > Khẩu hao và chi phí phân bổ - Khẩu hao,Khẩu hao và chi phí phân bổ - Khẩu hao,26.435.589.819,6.762.094.144,401.777.832,76.138.961.325,-,-,7.363.170.104,-117.101.593.224,26435589819.0,6762094144.0,401777832.0,76138961325.0,,,7363170104.0,-117101593224.0
"- Chi phí phân bổ142,242","Nợ phải trả không phân bổ Tổng nợ phải trả > - Chi phí phân bổ142,242","- Chi phí phân bổ142,242",1.531.033.315,241.456.959,171.129.982,1.858.089.904,7.500.510,-,374.382.985,4.183.593.655,1531033315.0,241456959.0,171129982.0,1858089904.0,7500510.0,,374382985.0,4183593655.0
Khẩu hao và chi phí không phân bổ,Khẩu hao và chi phí không phân bổ,Khẩu hao và chi phí không phân bổ,,,,,,,,,,,,,,,,
