row_label_raw,row_label_full,31/12/2017,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,495.283.480.952,-,495.283.480.952,495283480952.0,,495283480952.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,156.947.658.897,-,156.947.658.897,156947658897.0,,156947658897.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,743.495.289.336,3.181.786.535.905,3.925.281.825.241,743495289336.0,3181786535905.0,3925281825241.0
Phải trả khác,Phải trả khác,Phải trả khác,132.409.871.596,4.000.000.000,136.409.871.596,132409871596.0,4000000000.0,136409871596.0
Cộng,Cộng,Cộng,1.528.136.300.781,3.185.786.535.905,4.713.922.836.686,1528136300781.0,3185786535905.0,4713922836686.0
01/01/2017,01/01/2017,01/01/2017,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2017 > Phải trả người bán,Phải trả người bán,411.726.186.278,-,411.726.186.278,411726186278.0,,411726186278.0
Chỉ phí phải trả,01/01/2017 > Chỉ phí phải trả,Chỉ phí phải trả,67.566.339.431,-,67.566.339.431,67566339431.0,,67566339431.0
Vay và nợ thuê tài chính,01/01/2017 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,695.132.641.618,2.867.395.107.764,3.562.527.749.382,695132641618.0,2867395107764.0,3562527749382.0
Phải trả khác,01/01/2017 > Phải trả khác,Phải trả khác,108.853.053.798,7.746.335.250,116.599.389.048,108853053798.0,7746335250.0,116599389048.0
Cộng,01/01/2017 > Cộng,Cộng,1.283.278.221.125,2.875.141.443.014,4.158.419.664.139,1283278221125.0,2875141443014.0,4158419664139.0
