row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",TSCĐ khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__TSCĐ khác,numeric__Cộng
Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,Nguyễn giá,,,,,,
Số đầu kỳ,Nguyễn giá > Số đầu kỳ,Số đầu kỳ,192.566.935.031,308.226.344.938,29.421.364.758,15.317.191.916,2.402.092.183.681,2.947.624.020.324,192566935031.0,308226344938.0,29421364758.0,15317191916.0,2402092183681.0,2947624020324.0
Phân loại lại,Nguyễn giá > Phân loại lại,Phân loại lại,4.078.772.236,265.348.264.639,92.349.324.025,(9.109.259.225),-,352.667.101.675,4078772236.0,265348264639.0,92349324025.0,-9109259225.0,,352667101675.0
Mua sầm trong kỳ,Nguyễn giá > Mua sầm trong kỳ,Mua sầm trong kỳ,4.748.275.834,1.668.495.910,370.727.273,1.093.407.280,1.942.805.303,9.823.711.600,4748275834.0,1668495910.0,370727273.0,1093407280.0,1942805303.0,9823711600.0
XDCB hoàn thành,Nguyễn giá > XDCB hoàn thành,XDCB hoàn thành,188.909.345.502,-,-,-,31.108.541.664,220.017.887.166,188909345502.0,,,,31108541664.0,220017887166.0
Chuyển từ BDSĐT,Nguyễn giá > Chuyển từ BDSĐT,Chuyển từ BDSĐT,1.340.344.287,-,-,-,-,1.340.344.287,1340344287.0,,,,,1340344287.0
CL do chuyển đổi,Nguyễn giá > CL do chuyển đổi,CL do chuyển đổi,(241.293.708),(3.013.265.317),(16.680.890),(25.031.766),-,(3.296.271.681),-241293708.0,-3013265317.0,-16680890.0,-25031766.0,,-3296271681.0
"TL, nhượng bán","Nguyễn giá > TL, nhượng bán","TL, nhượng bán",7.599.856.286,-,510.367.000,-,18.437.772.080,26.547.995.366,7599856286.0,,510367000.0,,18437772080.0,26547995366.0
Giảm khác,Nguyễn giá > Giảm khác,Giảm khác,-,-,-,-,20.411.888.086,20.411.888.086,,,,,20411888086.0,20411888086.0
Thay đổi do hợp nhất,Nguyễn giá > Thay đổi do hợp nhất,Thay đổi do hợp nhất,-,-,5.940.202.726,(340.000.000),-,5.600.202.726,,,5940202726.0,-340000000.0,,5600202726.0
Số cuối kỳ,Nguyễn giá > Số cuối kỳ,Số cuối kỳ,383.802.522.896,572.229.840.170,127.554.570.892,6.936.308.205,2.396.293.870.482,3.486.817.112.645,383802522896.0,572229840170.0,127554570892.0,6936308205.0,2396293870482.0,3486817112645.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,,,,
Số đầu kỳ,Khẩu hao > Số đầu kỳ,Số đầu kỳ,49.678.428.204,274.295.967.005,20.507.737.072,9.154.532.305,94.200.888.847,447.837.553.433,49678428204.0,274295967005.0,20507737072.0,9154532305.0,94200888847.0,447837553433.0
Phân loại lại,Khẩu hao > Phân loại lại,Phân loại lại,4.660.788.960,265.407.797.977,86.127.043.990,(3.342.937.517),-,352.852.693.410,4660788960.0,265407797977.0,86127043990.0,-3342937517.0,,352852693410.0
Khẩu hao trong kỳ,Khẩu hao > Khẩu hao trong kỳ,Khẩu hao trong kỳ,12.942.689.215,13.503.386.194,2.139.410.451,1.197.174.304,84.152.581.113,113.935.241.277,12942689215.0,13503386194.0,2139410451.0,1197174304.0,84152581113.0,113935241277.0
Chuyển từ BDSĐT,Khẩu hao > Chuyển từ BDSĐT,Chuyển từ BDSĐT,585.283.658,-,-,-,-,585.283.658,585283658.0,,,,,585283658.0
CL do chuyển đổi,Khẩu hao > CL do chuyển đổi,CL do chuyển đổi,(225.447.675),(2.917.803.035),(169.581.461),(116.267.872),-,(3.429.100.043),-225447675.0,-2917803035.0,-169581461.0,-116267872.0,,-3429100043.0
"TL, nhượng bán","Khẩu hao > TL, nhượng bán","TL, nhượng bán",3.256.301.942,-,510.367.000,-,6.288.489.644,10.055.158.586,3256301942.0,,510367000.0,,6288489644.0,10055158586.0
Thay đổi do hợp nhất,Khẩu hao > Thay đổi do hợp nhất,Thay đổi do hợp nhất,-,-,2.815.108.681,(340.000.000),-,2.475.108.681,,,2815108681.0,-340000000.0,,2475108681.0
Số cuối kỳ,Khẩu hao > Số cuối kỳ,Số cuối kỳ,64.385.440.420,550.289.348.141,110.909.351.733,6.552.501.220,172.064.980.316,904.201.621.830,64385440420.0,550289348141.0,110909351733.0,6552501220.0,172064980316.0,904201621830.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,142.888.506.827,33.930.377.933,8.913.627.686,6.162.659.611,2.307.891.294.834,2.499.786.466.891,142888506827.0,33930377933.0,8913627686.0,6162659611.0,2307891294834.0,2499786466891.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,319.417.082.476,21.940.492.029,16.645.219.159,383.806.985,2.224.228.890.166,2.582.615.490.815,319417082476.0,21940492029.0,16645219159.0,383806985.0,2224228890166.0,2582615490815.0
