row_label_raw,row_label_full,col_0,31/12/2017 > Giá gốc,31/12/2017 > Giá trị có thể thu hồi (*),31/12/2017 > Thời gian quá hạn,31/12/2017 > Ghi chú,numeric__31/12/2017 > Giá gốc,numeric__31/12/2017 > Giá trị có thể thu hồi (*),numeric__31/12/2017 > Thời gian quá hạn,numeric__31/12/2017 > Ghi chú
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,17.854.316.643,7.740.370.438,,,17854316643.0,7740370438.0,,
- Công ty TNHH Nam Thuận,- Công ty TNHH Nam Thuận,- Công ty TNHH Nam Thuận,533.661.700,-,Trên 3 năm,Đang khởi kiện,533661700.0,,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,17.320.654.943,7.740.370.438,Từ 1 năm đến trên 3 năm,"Công nợ tồn tại lâu, khó thu hồi",17320654943.0,7740370438.0,,
Trả trước người bán,Trả trước người bán,Trả trước người bán,4.928.377.704,624.293.623,,,4928377704.0,624293623.0,,
- Công ty TNHH TV TK Kiến Phát,- Công ty TNHH TV TK Kiến Phát,- Công ty TNHH TV TK Kiến Phát,1.490.000.000,-,Trên 3 năm,Không thực hiện hợp đồng,1490000000.0,,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,3.438.377.704,624.293.623,Từ 1 năm đến trên 3 năm,Không thực hiện hợp đồng,3438377704.0,624293623.0,,
Tạm ứng,Tạm ứng,Tạm ứng,67.479.236,-,,,67479236.0,,,
- Nguyễn Văn Hòa,- Nguyễn Văn Hòa,- Nguyễn Văn Hòa,67.479.236,-,Trên 3 năm,Công nợ tồn lâu khó thu hồi,67479236.0,,,
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,7.972.371.581,3.289.860.107,,,7972371581.0,3289860107.0,,
- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,7.972.371.581,3.289.860.107,Từ 6 tháng đến trên 3 năm,Đang khởi kiện,7972371581.0,3289860107.0,,
Phải thu khác,Phải thu khác,Phải thu khác,3.722.590.387,785.791.592,,,3722590387.0,785791592.0,,
- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,- DNTN Du lịch lữ hành & Đầu tư Xây dựng NHHTC,974.653.388,-,Trên 3 năm,Đang khởi kiện,974653388.0,,,
- Nguyễn Đình Trạc,- Nguyễn Đình Trạc,- Nguyễn Đình Trạc,902.400.615,275.720.185,Từ 2-3 năm,"CNV đã nghi việc, khó có khả năng thu hồi",902400615.0,275720185.0,,
- Đỗ Thanh,- Đỗ Thanh,- Đỗ Thanh,1.398.114.694,419.434.408,Trên 3 năm,"CNV đã nghi việc, khó có khả năng thu hồi",1398114694.0,419434408.0,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,447.421.690,90.636.999,Từ 1 năm đến trên 3 năm,Chưa thu hồi được,447421690.0,90636999.0,,
Cộng,Cộng,Cộng,34.545.135.551,12.440.315.760,,,34545135551.0,12440315760.0,,
