row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mó đá Đắk Wei,Website,Phần mềm máy tính,Chi phí triển khai (a),Quan hệ khách hàng khế ước (b),Cộng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mó đá Đắk Wei,numeric__Website,numeric__Phần mềm máy tính,numeric__Chi phí triển khai (a),numeric__Quan hệ khách hàng khế ước (b),numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,38.690.714.270,617.689.701,34.760.000,433.079.792,123.992.186.056,32.993.300.000,196.761.729.819,38690714270.0,617689701.0,34760000.0,433079792.0,123992186056.0,32993300000.0,196761729819.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,-,(34.760.000),34.760.000,12.838.508.265,-,12.838.508.265,,,-34760000.0,34760000.0,12838508265.0,,12838508265.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,-,-,-,-,,,,,,,
Thay đổi do hợp nhất,Tăng trong kỳ > Thay đổi do hợp nhất,Thay đổi do hợp nhất,-,-,-,(35.395.792),-,-,(35.395.792),,,,-35395792.0,,,-35395792.0
CL do chuyển đổi,Tăng trong kỳ > CL do chuyển đổi,CL do chuyển đổi,-,-,-,-,(1.353.224.711),(348.362.500),(1.701.587.211),,,,,-1353224711.0,-348362500.0,-1701587211.0
"Thanh lý, nhượng bán","Tăng trong kỳ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",3.206.340.000,-,-,-,-,-,3.206.340.000,3206340000.0,,,,,,3206340000.0
Số cuối kỳ,Tăng trong kỳ > Số cuối kỳ,Số cuối kỳ,35.484.374.270,617.689.701,-,432.444.000,135.477.469.610,32.644.937.500,204.656.915.081,35484374270.0,617689701.0,,432444000.0,135477469610.0,32644937500.0,204656915081.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,,,,,
Số đầu kỳ,Khẩu hao > Số đầu kỳ,Số đầu kỳ,66.554.675,105.260.789,19.793.891,310.822.832,109.824.750.000,1.649.665.000,111.976.847.187,66554675.0,105260789.0,19793891.0,310822832.0,109824750000.0,1649665000.0,111976847187.0
Phân loại lại,Khẩu hao > Phân loại lại,Phân loại lại,,3.743.251,(19.793.891),16.050.640,,,,,3743251.0,-19793891.0,16050640.0,,,
Khẩu hao trong kỳ,Khẩu hao > Khẩu hao trong kỳ,Khẩu hao trong kỳ,21.585.300,36.334.680,-,69.583.008,8.196.644.775,3.275.731.250,11.599.879.013,21585300.0,36334680.0,,69583008.0,8196644775.0,3275731250.0,11599879013.0
Thay đổi do hợp nhất,Khẩu hao > Thay đổi do hợp nhất,Thay đổi do hợp nhất,-,-,-,(35.395.792),-,-,(35.395.792),,,,-35395792.0,,,-35395792.0
CL do chuyển đổi,Khẩu hao > CL do chuyển đổi,CL do chuyển đổi,-,-,-,-,(1.187.712.600),(28.655.625),(1.216.368.225),,,,,-1187712600.0,-28655625.0,-1216368225.0
"Thanh lý, nhượng bán","Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,-,-,-,-,-,,,,,,,
Số cuối kỳ,"Thanh lý, nhượng bán > Số cuối kỳ",Số cuối kỳ,88.139.975,145.338.720,-,361.060.688,116.833.682.175,4.896.740.625,122.324.962.183,88139975.0,145338720.0,,361060688.0,116833682175.0,4896740625.0,122324962183.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,38.624.159.595,512.428.912,14.966.109,122.256.960,14.167.436.056,31.343.635.000,84.784.882.632,38624159595.0,512428912.0,14966109.0,122256960.0,14167436056.0,31343635000.0,84784882632.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,35.396.234.295,472.350.981,-,71.383.312,18.643.787.435,27.748.196.875,82.331.952.898,35396234295.0,472350981.0,,71383312.0,18643787435.0,27748196875.0,82331952898.0
