row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_2,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_3,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_4,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_5,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_6,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_2,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_3,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_4,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_5,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẮT (tiếp theo)(Thuyết minh này là bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính)b. Vay dài hạn_6
,,,Số đầu kỳ,Tăng trong kỳ,Giảm trong kỳ,Tăng/giảm do hợp nhất,Ảnh hưởng do chuyển đổi báo cáo,Số cuối kỳ,,,,,,
Vay dài hạn,Vay dài hạn,Vay dài hạn,2.631.550.831.302,314.287.688.880,121.636.955.740,15.667.504.852,-,2.839.869.069.294,2631550831302.0,314287688880.0,121636955740.0,15667504852.0,,2839869069294.0
- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai (i1),- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai (i1),- Ngân hàng TMCP Công thương Việt Nam - CN Gia Lai (i1),977.959.403.555,21.810.000.000,37.000.000.000,-,-,962.769.403.555,977959403555.0,21810000000.0,37000000000.0,,,962769403555.0
- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai (i2),- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai (i2),- Ngân hàng TMCP ĐT&PT Việt Nam - CN Gia Lai (i2),1.352.716.672.818,279.228.704.000,22.264.492.000,-,-,1.609.680.884.818,1352716672818.0,279228704000.0,22264492000.0,,,1609680884818.0
- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai (i3),- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai (i3),- Ngân hàng TMCP Sài Gòn Thương Tín - CN Gia Lai (i3),63.555.018.800,-,5.587.254.400,-,-,57.967.764.400,63555018800.0,,5587254400.0,,,57967764400.0
- Ngân hàng TMCP Sài Gòn Thương Tín - CN TP HCM (i4),- Ngân hàng TMCP Sài Gòn Thương Tín - CN TP HCM (i4),- Ngân hàng TMCP Sài Gòn Thương Tín - CN TP HCM (i4),235.493.066.129,-,31.500.000.000,-,-,203.993.066.129,235493066129.0,,31500000000.0,,,203993066129.0
- Ngân hàng TMCP Quốc Dân - Sở giao dịch (i5),- Ngân hàng TMCP Quốc Dân - Sở giao dịch (i5),- Ngân hàng TMCP Quốc Dân - Sở giao dịch (i5),1.586.670.000,-,755.520.000,2.514.800.000,-,3.345.950.000,1586670000.0,,755520000.0,2514800000.0,,3345950000.0
- Ngân hàng TMCP Phát triển TP HCM - CN Đắk Lắk (i6),- Ngân hàng TMCP Phát triển TP HCM - CN Đắk Lắk (i6),- Ngân hàng TMCP Phát triển TP HCM - CN Đắk Lắk (i6),240.000.000,-,240.000.000,-,-,-,240000000.0,,240000000.0,,,
- Công ty TNHH SXTMDV Đồng Phú Hưng (i7),- Công ty TNHH SXTMDV Đồng Phú Hưng (i7),- Công ty TNHH SXTMDV Đồng Phú Hưng (i7),-,6.852.000.000,9.922.000.000,5.182.000.392,-,2.112.000.392,,6852000000.0,9922000000.0,5182000392.0,,2112000392.0
- Công ty Cổ phần Đầu tư Xây dựng Vạn Gia Long (i8),- Công ty Cổ phần Đầu tư Xây dựng Vạn Gia Long (i8),- Công ty Cổ phần Đầu tư Xây dựng Vạn Gia Long (i8),-,6.396.984.880,13.844.329.640,7.447.344.760,-,-,,6396984880.0,13844329640.0,7447344760.0,,
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,495.661.789.736,136.104.860.935,2.211.000.000,-,-,629.555.650.671,495661789736.0,136104860935.0,2211000000.0,,,629555650671.0
Cộng,Cộng,Cộng,3.127.212.621.038,450.392.549.815,123.847.955.740,15.667.504.852,-,3.469.424.719.965,3127212621038.0,450392549815.0,123847955740.0,15667504852.0,,3469424719965.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,,,,,
- Vay dài hạn đến hạn trả trong vòng 1 năm,Trong đó: > - Vay dài hạn đến hạn trả trong vòng 1 năm,- Vay dài hạn đến hạn trả trong vòng 1 năm,126.240.264.542,-,-,,,151.263.684.060,126240264542.0,,,,,151263684060.0
- Trái phiếu phát hành đến hạn,Trong đó: > - Trái phiếu phát hành đến hạn,- Trái phiếu phát hành đến hạn,133.577.248.732,-,-,,,136.374.500.000,133577248732.0,,,,,136374500000.0
Vay và nợ thuê tài chính dài hạn,Trong đó: > Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,2.867.395.107.764,,,,,3.181.786.535.905,2867395107764.0,,,,,3181786535905.0
