row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND > Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND > Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,24.925.080.975.647,18.420.179.698.256,,100.0,,24925080975647.0,18420179698256.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,8.251.731.998.519,8.223.693.034.528,,110.0,4.0,8251731998519.0,8223693034528.0
1.,1.,1.,Tiền,111,,509.653.505.974,263.693.034.528,,111.0,,509653505974.0,263693034528.0
2.,2.,2.,Các khoản tương đương tiền,112,,7.742.078.492.545,7.960.000.000.000,,112.0,,7742078492545.0,7960000000000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5,1.649.811.786.170,531.217.428.970,,120.0,5.0,1649811786170.0,531217428970.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,,1.649.811.786.170,531.217.428.970,,123.0,,1649811786170.0,531217428970.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,12.537.524.330.624,5.799.389.305.021,,130.0,,12537524330624.0,5799389305021.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,9.767.631.705.491,5.343.081.983.110,,131.0,6.0,9767631705491.0,5343081983110.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,2.074.496.619.929,182.098.259.326,,132.0,7.0,2074496619929.0,182098259326.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,794.087.282.634,355.455.711.956,,136.0,8.0,794087282634.0,355455711956.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(98.691.277.430),(81.246.649.371),,137.0,9.0,-98691277430.0,-81246649371.0
IV.,IV.,IV.,Hàng tồn kho,140,10,2.085.774.441.788,1.837.762.461.182,,140.0,10.0,2085774441788.0,1837762461182.0
1.,1.,1.,Hàng tồn kho,141,,2.085.774.441.788,1.837.762.461.182,,141.0,,2085774441788.0,1837762461182.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,400.238.418.546,2.028.117.468.555,,150.0,,400238418546.0,2028117468555.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,75.219.631.891,1.608.342.332.820,,151.0,11.0,75219631891.0,1608342332820.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,325.018.786.655,283.285.031.001,,152.0,,325018786655.0,283285031001.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,18,,136.490.104.734,,153.0,18.0,,136490104734.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,31.918.163.879.143,34.556.738.258.669,,200.0,,31918163879143.0,34556738258669.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,402.027.000,298.163.000,,210.0,,402027000.0,298163000.0
1.,1.,1.,Phải thu dài hạn khác,216,8,402.027.000,298.163.000,,216.0,8.0,402027000.0,298163000.0
II.,II.,II.,Tài sản cố định,220,,29.155.161.436.660,31.868.871.223.944,,220.0,,29155161436660.0,31868871223944.0
1.,1.,1.,Tài sản cố định hữu hình,221,12,29.123.272.689.045,31.834.870.010.707,,221.0,12.0,29123272689045.0,31834870010707.0
,,,- Nguyên giá,222,,69.759.416.566.918,69.669.576.957.275,,222.0,,69759416566918.0,69669576957275.0
,,,- Giá trị hao mòn lũy kế,223,,(40.635.143.877.873),(37.834.706.946.568),,223.0,,-40635143877873.0,-37834706946568.0
2.,2.,2.,Tài sản cố định vô hình,227,13,31.888.747.615,34.001.213.237,,227.0,13.0,31888747615.0,34001213237.0
,,,- Nguyên giá,228,,94.746.108.727,92.706.318.727,,228.0,,94746108727.0,92706318727.0
,,,- Giá trị hao mòn lũy kế,229,,(62.857.361.112),(58.705.105.490),,229.0,,-62857361112.0,-58705105490.0
III.,III.,III.,Tài sản dở dang dài hạn,240,,935.634.370.310,405.420.688.181,,240.0,,935634370310.0,405420688181.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,14,935.634.370.310,405.420.688.181,,242.0,14.0,935634370310.0,405420688181.0
IV.,IV.,IV.,Đầu tư tài chính dài hạn,250,,877.631.146.763,827.903.601.323,,250.0,,877631146763.0,827903601323.0
1.,1.,1.,Đầu tư vào công ty liên kết,252,5,503.051.846.890,449.829.926.176,,252.0,5.0,503051846890.0,449829926176.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,5,399.355.456.500,413.573.456.500,,253.0,5.0,399355456500.0,413573456500.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,5,(24.776.156.627),(35.499.781.353),,254.0,5.0,-24776156627.0,-35499781353.0
V.,V.,V.,Tài sản dài hạn khác,260,,949.334.898.410,1.454.244.582.221,,260.0,,949334898410.0,1454244582221.0
1.,1.,1.,Chi phí trả trước dài hạn,261,11,262.053.646.682,649.881.386.297,,261.0,11.0,262053646682.0,649881386297.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,15,,14.592.198.454,,262.0,15.0,,14592198454.0
3.,3.,3.,Thiết bị vật tư phụ tùng thay thế dài hạn,263,16,687.281.251.728,789.770.997.470,,263.0,16.0,687281251728.0,789770997470.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),270,,56.843.244.854.790,52.976.917.956.925,,270.0,,56843244854790.0,52976917956925.0
