row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,28,28.224.118.055.975,24.560.949.330.329,,1.0,28.0,28224118055975.0,24560949330329.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,,,,2.0,,,
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,28.224.118.055.975,24.560.949.330.329,,10.0,,28224118055975.0,24560949330329.0
4.,4.,4.,Giá vốn hàng bán và cung cấp dịch vụ,11,29,24.498.013.951.665,22.020.951.407.015,,11.0,29.0,24498013951665.0,22020951407015.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,3.726.104.104.310,2.539.997.923.314,,20.0,,3726104104310.0,2539997923314.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,31,445.221.020.562,689.859.994.612,,21.0,31.0,445221020562.0,689859994612.0
7.,7.,7.,Chi phí tài chính,22,32,591.786.538.077,652.802.199.566,,22.0,32.0,591786538077.0,652802199566.0
,,,- Trong đó: Chi phí lãi vay,23,,437.526.336.797,509.644.391.365,,23.0,,437526336797.0,509644391365.0
8.,8.,8.,Phần lãi trong công ty liên kết,24,,53.221.920.714,22.487.408.373,,24.0,,53221920714.0,22487408373.0
9.,9.,9.,Chi phí bán hàng,25,,,9.426.420.660,,25.0,,,9426420660.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,33,867.603.382.318,130.934.373.388,,26.0,33.0,867603382318.0,130934373388.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,2.765.157.125.191,2.459.182.332.685,,30.0,,2765157125191.0,2459182332685.0
12.,12.,12.,Thu nhập khác,31,,67.138.158.695,19.838.218.070,,31.0,,67138158695.0,19838218070.0
13.,13.,13.,Chi phí khác,32,,23.061.110.546,139.720.271.858,,32.0,,23061110546.0,139720271858.0
14.,14.,14.,Lợi nhuận/(lỗ) khác (40=31-32),40,34,44.077.048.149,(119.882.053.788),,40.0,34.0,44077048149.0,-119882053788.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,2.809.234.173.340,2.339.300.278.897,,50.0,,2809234173340.0,2339300278897.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,35,240.765.852.700,164.456.564.043,,51.0,35.0,240765852700.0,164456564043.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,35,15.539.750.493,122.690.563.437,,52.0,35.0,15539750493.0,122690563437.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,2.552.928.570.147,2.052.153.151.417,,60.0,,2552928570147.0,2052153151417.0
,,,Trong đó:,,,,,,,,,
,,,Lợi nhuận sau thuế của Công ty mẹ,61,,2.060.858.298.332,1.798.554.042.056,,61.0,,2060858298332.0,1798554042056.0
,,,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,492.070.271.815,253.599.109.361,,62.0,,492070271815.0,253599109361.0
