row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,31.410.888.593,59.995.933.770,1.299.496.364,92.706.318.727,31410888593.0,59995933770.0,1299496364.0,92706318727.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,71.790.000,-,71.790.000,,71790000.0,,71790000.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,1.968.000.000,-,1.968.000.000,,1968000000.0,,1968000000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,31.410.888.593,62.035.723.770,1.299.496.364,94.746.108.727,31410888593.0,62035723770.0,1299496364.0,94746108727.0
GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,GIÁ TRỊ HAO MÔN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.662.143.535,56.797.387.135,245.574.820,58.705.105.490,1662143535.0,56797387135.0,245574820.0,58705105490.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,276.017.710,3.585.119.526,52.250.000,3.913.387.236,276017710.0,3585119526.0,52250000.0,3913387236.0
Trích khấu hao vào Xây dựng cơ bản dđang,GIÁ TRỊ HAO MÔN LỦY KẾ > Trích khấu hao vào Xây dựng cơ bản dđang,Trích khấu hao vào Xây dựng cơ bản dđang,-,-,238.868.386,238.868.386,,,238868386.0,238868386.0
Số dư cuối năm,GIÁ TRỊ HAO MÔN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.938.161.245,60.382.506.661,536.693.206,62.857.361.112,1938161245.0,60382506661.0,536693206.0,62857361112.0
GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,GIÁ TRỊ CÔN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,29.748.745.058,3.198.546.635,1.053.921.544,34.001.213.237,29748745058.0,3198546635.0,1053921544.0,34001213237.0
Tại ngày cuối năm,GIÁ TRỊ CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,29.472.727.348,1.653.217.109,762.803.158,31.888.747.615,29472727348.0,1653217109.0,762803158.0,31888747615.0
