row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,23.561.794.352.453,21.851.540.246.332,,300.0,,23561794352453.0,21851540246332.0
I.,I.,I.,Nợ ngắn hạn,310,,18.325.681.327.490,16.811.277.946.288,,310.0,,18325681327490.0,16811277946288.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,7.346.398.731.673,7.239.989.131.772,,311.0,17.0,7346398731673.0,7239989131772.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,3.785.333.991,5.605.664.403,,312.0,,3785333991.0,5605664403.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,18,250.217.043.700,227.349.134.645,,313.0,18.0,250217043700.0,227349134645.0
4.,4.,4.,Phải trả người lao động,314,,221.869.370.563,231.729.643.808,,314.0,,221869370563.0,231729643808.0
5.,5.,5.,Chỉ phí phải trả ngắn hạn,315,19,1.931.211.006.270,1.017.229.628.854,,315.0,19.0,1931211006270.0,1017229628854.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,36.818.183,,,318.0,,36818183.0,
7.,7.,7.,Phải trả ngắn hạn khác,319,20,2.653.067.850.408,2.352.555.482.888,,319.0,20.0,2653067850408.0,2352555482888.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,5.635.216.330.148,4.768.503.650.670,,320.0,21.0,5635216330148.0,4768503650670.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,23,205.455.087.777,918.113.948.095,,321.0,23.0,205455087777.0,918113948095.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,78.423.754.777,50.210.661.153,,322.0,,78423754777.0,50210661153.0
II.,II.,II.,Nợ dài hạn,330,,5.236.113.024.963,5.040.262.300.044,,330.0,,5236113024963.0,5040262300044.0
1.,1.,1.,Phải trả dài hạn khác,337,20,477.101.718,405.403.444,,337.0,20.0,477101718.0,405403444.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,21,3.381.845.397.268,3.689.315.873.178,,338.0,21.0,3381845397268.0,3689315873178.0
3.,3.,3.,Thuế thu nhập hoãn lại phải trả,341,15,2.607.681.114,1.660.129.075,,341.0,15.0,2607681114.0,1660129075.0
4.,4.,4.,Dự phòng phải trả dài hạn,342,23,1.733.363.603.060,1.231.061.652.544,,342.0,23.0,1733363603060.0,1231061652544.0
5.,5.,5.,Quỹ phát triển khoa học và công nghệ,343,24,117.819.241.803,117.819.241.803,,343.0,24.0,117819241803.0,117819241803.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,33.281.450.502.337,31.125.377.710.593,,400.0,,33281450502337.0,31125377710593.0
I.,I.,I.,Vốn chủ sở hữu,410,25,33.281.450.502.337,31.125.377.710.593,,410.0,25.0,33281450502337.0,31125377710593.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,23.418.716.000.000,23.418.716.000.000,,411.0,,23418716000000.0,23418716000000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,23.418.716.000.000,23.418.716.000.000,,,,23418716000000.0,23418716000000.0
2.,2.,2.,Thặng dư vốn cố phân,412,,(274.807.025),(274.807.025),,412.0,,-274807025.0,-274807025.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,225.720.372.645,225.720.372.645,,414.0,,225720372645.0,225720372645.0
4.,4.,4.,Chênh lệch đánh giá lại tài sản,416,,(191.305.728.000),(191.305.728.000),,416.0,,-191305728000.0,-191305728000.0
5.,5.,5.,Quỹ đầu tư phát triển,418,,3.643.183.139.192,2.174.558.130.932,,418.0,,3643183139192.0,2174558130932.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,3.420.458.998.695,3.010.430.220.648,,421.0,,3420458998695.0,3010430220648.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,1.359.600.700.363,1.211.876.178.592,,,,1359600700363.0,1211876178592.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,2.060.858.298.332,1.798.554.042.056,,,,2060858298332.0,1798554042056.0
7.,7.,7.,Lợi ích của cố động không kiểm soát TỔNG CỘNG NGUỒN VỐN (440=300+400),429,,2.764.952.526.830,2.487.533.521.393,,429.0,,2764952526830.0,2487533521393.0
,,,,440,,"56.843,244.854,790",52.976.917.956.925,,440.0,,,52976917956925.0
