row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Lãi suất %/năm,Số cuối năm > Kỳ hạn,Số đầu năm > Giá trị,Số đầu năm > Lãi suất %/năm,Số đầu năm > Kỳ hạn,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Lãi suất %/năm,numeric__Số cuối năm > Kỳ hạn,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Lãi suất %/năm,numeric__Số đầu năm > Kỳ hạn
,,,VND,,,VND,,,,,,,,
Trải phiếu phát hành,Trải phiếu phát hành,Trải phiếu phát hành,Trải phiếu phát hành,Trải phiếu phát hành,Trải phiếu phát hành,Trải phiếu phát hành,Trải phiếu phát hành,Trải phiếu phát hành,,,,,,
Công ty Cổ phần chứng khoán Rồng Việt (i),Trải phiếu phát hành > Công ty Cổ phần chứng khoán Rồng Việt (i),Công ty Cổ phần chứng khoán Rồng Việt (i),149.500.000.000,"9,90",2 năm,148.000.000.000,"9,90",2 năm,149500000000.0,9.9,,148000000000.0,9.9,
Công ty Cổ phần Chứng khoán Kỹ Thương,Trải phiếu phát hành > Công ty Cổ phần Chứng khoán Kỹ Thương,Công ty Cổ phần Chứng khoán Kỹ Thương,-,-,,198.888.888.886,"9,06-9,96",3 năm,,,,198888888886.0,,
Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản Ngân hàng TMCP Đại Chứng Việt Nam (ii),Trải phiếu phát hành > Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản Ngân hàng TMCP Đại Chứng Việt Nam (ii),Công ty TNHH MTV Quản lý nợ và Khai thác Tài sản Ngân hàng TMCP Đại Chứng Việt Nam (ii),-,-,,79.288.888.880,"10,00",3 năm,,,,79288888880.0,10.0,
Ông Lê Xuân Học (ii),Trải phiếu phát hành > Ông Lê Xuân Học (ii),Ông Lê Xuân Học (ii),-,-,,84.244.444.440,"10,00",3 năm,,,,84244444440.0,10.0,
Công ty Cổ phần Quản lý Quỹ Ngân hàng TMCP Đại Chứng Việt Nam (ii),Trải phiếu phát hành > Công ty Cổ phần Quản lý Quỹ Ngân hàng TMCP Đại Chứng Việt Nam (ii),Công ty Cổ phần Quản lý Quỹ Ngân hàng TMCP Đại Chứng Việt Nam (ii),-,-,,14.866.666.660,"10,00",3 năm,,,,14866666660.0,10.0,
Công ty Cổ phần Quản lý Quỹ đầu tư MB (ii),Trải phiếu phát hành > Công ty Cổ phần Quản lý Quỹ đầu tư MB (ii),Công ty Cổ phần Quản lý Quỹ đầu tư MB (ii),-,-,,59.266.666.662,"10,00",3 năm,,,,59266666662.0,10.0,
Công ty Cổ phần chứng khoán Rồng Việt - chỉ nhánh Hà Nội (ii),Trải phiếu phát hành > Công ty Cổ phần chứng khoán Rồng Việt - chỉ nhánh Hà Nội (ii),Công ty Cổ phần chứng khoán Rồng Việt - chỉ nhánh Hà Nội (ii),-,-,,39.377.777.776,"10,00",3 năm,,,,39377777776.0,10.0,
,,,149.500.000.000,,,623.933.333.304,,,149500000000.0,,,623933333304.0,,
