row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Chênh lệch đánh giá lại,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Chênh lệch đánh giá lại,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Tại ngày 01 tháng 01 năm 2021,Tại ngày 01 tháng 01 năm 2021,Tại ngày 01 tháng 01 năm 2021,23.418.716.000.000,(274.807.025),225.662.145.738,(191.305.728.000),782.216.585.311,4.302.230.689.261,2.729.348.494.189,31.266.593.379.474,23418716000000.0,-274807025.0,225662145738.0,-191305728000.0,782216585311.0,4302230689261.0,2729348494189.0,31266593379474.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,1.798.554.042.056,253.599.109.361,2.052.153.151.417,,,,,,1798554042056.0,253599109361.0,2052153151417.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,1.393.913.110.901,(1.393.913.110.901),-,-,,,,,1393913110901.0,-1393913110901.0,,
Kết chuyển lợi nhuận trước cổ phần hóa phải nộp về Tập đoàn,Kết chuyển lợi nhuận trước cổ phần hóa phải nộp về Tập đoàn,Kết chuyển lợi nhuận trước cổ phần hóa phải nộp về Tập đoàn,-,-,-,-,-,(1.028.174.152.403),-,(1.028.174.152.403),,,,,,-1028174152403.0,,-1028174152403.0
"Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý",-,-,-,-,-,(190.837.131.483),(11.969.365.569),(202.806.497.052),,,,,,-190837131483.0,-11969365569.0,-202806497052.0
Thay đổi do thời vốn/giảm tỷ lệ sở hữu Công ty con,Thay đổi do thời vốn/giảm tỷ lệ sở hữu Công ty con,Thay đổi do thời vốn/giảm tỷ lệ sở hữu Công ty con,-,-,58.226.907,-,(1.537.095.978),(9.061.168.520),(241.425.096.505),(251.965.134.096),,,58226907.0,,-1537095978.0,-9061168520.0,-241425096505.0,-251965134096.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(468.374.320.000),(241.984.898.000),(710.359.218.000),,,,,,-468374320000.0,-241984898000.0,-710359218000.0
(Giảm) khác,(Giảm) khác,(Giảm) khác,-,-,-,-,(34.469.302),5.372.638,(34.722.083),(63.818.747),,,,,-34469302.0,5372638.0,-34722083.0,-63818747.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),2.174.558.130.932,3.010.430.220.648,2.487.533.521.393,31.125.377.710.593,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,2174558130932.0,3010430220648.0,2487533521393.0,31125377710593.0
Lợi nhuận trong năm (I),Lợi nhuận trong năm (I),Lợi nhuận trong năm (I),-,-,-,-,-,2.060.858.298.332,492.070.271.815,2.552.928.570.147,,,,,,2060858298332.0,492070271815.0,2552928570147.0
Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),Trích quỹ đầu tư phát triển (ii),-,-,-,-,1.468.716.088.814,(1.468.716.088.814),-,-,,,,,1468716088814.0,-1468716088814.0,,
"Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (iii)","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (iii)","Trích quỹ khen thưởng, phúc lợi, quỹ thưởng viên chức quản lý (iii)",-,-,-,-,-,(182.154.978.177),(15.004.238.223),(197.159.216.400),,,,,,-182154978177.0,-15004238223.0,-197159216400.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,(199.582.415.850),(199.582.415.850),,,,,,,-199582415850.0,-199582415850.0
(Giảm) khác,(Giảm) khác,(Giảm) khác,-,-,-,-,(91.080.554),41.546.706,(64.612.305),(114.146.153),,,,,-91080554.0,41546706.0,-64612305.0,-114146153.0
Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,Tại ngày 31 tháng 12 năm 2022,23.418.716.000.000,(274.807.025),225.720.372.645,(191.305.728.000),3.643.183.139.192,3.420.458.998.695,2.764.952.526.830,33.281.450.502.337,23418716000000.0,-274807025.0,225720372645.0,-191305728000.0,3643183139192.0,3420458998695.0,2764952526830.0,33281450502337.0
