row_label_raw,row_label_full,Tên công ty liên kết,Nơi thành lập và hoạt động,Tỷ lệ phần sở hữu,Tỷ lệ quyền biểu quyết nằm giữ,Hoạt động chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ phần sở hữu,numeric__Tỷ lệ quyền biểu quyết nằm giữ,numeric__Hoạt động chính
Công ty Cổ phần Thủy điện Nậm Chiến,Công ty Cổ phần Thủy điện Nậm Chiến,Công ty Cổ phần Thủy điện Nậm Chiến,Son La,"20,16%","20,16%",Sản xuất điện,,0.2016,0.2016,
Công ty Cổ phần Năng lượng Sông Hồng,Công ty Cổ phần Năng lượng Sông Hồng,Công ty Cổ phần Năng lượng Sông Hồng,Yên Bái,44.07%,44.07%,Sản xuất điện,,44.07,44.07,
