row_label_raw,row_label_full,Lợi nhuận trong năm phân bổ cho các cổ đông sở hữu cổ phiếu phố thông (VND) > Trừ: Số tiền trích Quỹ khen thưởng phúc lợi (I),Năm nay > 2.060.858.298.332 > (22.000.000.000),Năm trước(Trình bày lại) > 1.798.554.042.056 > (182.154.978.177),numeric__Năm nay > 2.060.858.298.332 > (22.000.000.000),numeric__Năm trước(Trình bày lại) > 1.798.554.042.056 > (182.154.978.177)
Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),Lợi nhuận để tính lãi cơ bản trên cổ phiếu (VND),2.038.858.298.332,1.616.399.063.879,2038858298332.0,1616399063879.0
Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),Số bình quân gia quyền của cổ phiếu phố thông để tính lãi cơ bản trên cổ phiếu (cổ phiếu),2.341.871.600,2.341.871.600,2341871600.0,2341871600.0
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),871,690,871.0,690.0
