row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,18.219.115.482.378,48.787.287.890.966,311.083.979.281,215.906.054.360,2.136.183.550.290,69.669.576.957.275,18219115482378.0,48787287890966.0,311083979281.0,215906054360.0,2136183550290.0,69669576957275.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,8.301.386.695,9.051.948.472,12.432.015.469,18.732.120.938,581.144.544,49.098.616.118,8301386695.0,9051948472.0,12432015469.0,18732120938.0,581144544.0,49098616118.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,(14.796.472.017),15.557.272.727,4.054.205.704,345.938.299,-,5.160.944.713,-14796472017.0,15557272727.0,4054205704.0,345938299.0,,5160944713.0
"Cải tạo, nâng cấp","NGUYÊN GIÁ > Cải tạo, nâng cấp","Cải tạo, nâng cấp",-,15.898.855.591,-,-,-,15.898.855.591,,15898855591.0,,,,15898855591.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(731.676.088),(6.844.917.275),(889.075.234),-,(8.465.668.597),,-731676088.0,-6844917275.0,-889075234.0,,-8465668597.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,,28.146.861.818,-,-,-,28.146.861.818,,28146861818.0,,,,28146861818.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,18.212.620.397.056,48.855.211.153.486,320.725.283.179,234.095.038.363,2.136.764.694.834,69.759.416.566.918,18212620397056.0,48855211153486.0,320725283179.0,234095038363.0,2136764694834.0,69759416566918.0
GIÁ TRI HAO MÔN LÜY KẾ,GIÁ TRI HAO MÔN LÜY KẾ,GIÁ TRI HAO MÔN LÜY KẾ,GIÁ TRI HAO MÔN LÜY KẾ,GIÁ TRI HAO MÔN LÜY KẾ,GIÁ TRI HAO MÔN LÜY KẾ,GIÁ TRI HAO MÔN LÜY KẾ,GIÁ TRI HAO MÔN LÜY KẾ,GIÁ TRI HAO MÔN LÜY KẾ,,,,,,
Số dư đầu năm,GIÁ TRI HAO MÔN LÜY KẾ > Số dư đầu năm,Số dư đầu năm,6.968.903.369.011,29.927.241.601.719,255.004.024.800,149.549.641.931,534.008.309.107,37.834.706.946.568,6968903369011.0,29927241601719.0,255004024800.0,149549641931.0,534008309107.0,37834706946568.0
Trích khấu hao vào chi phí trong năm,GIÁ TRI HAO MÔN LÜY KẾ > Trích khấu hao vào chi phí trong năm,Trích khấu hao vào chi phí trong năm,796.374.993.182,1.885.462.781.085,14.840.192.747,19.221.123.489,89.581.513.505,2.805.480.604.008,796374993182.0,1885462781085.0,14840192747.0,19221123489.0,89581513505.0,2805480604008.0
Trích khấu hao vào xây dựng cơ bản dở dang trong năm,GIÁ TRI HAO MÔN LÜY KẾ > Trích khấu hao vào xây dựng cơ bản dở dang trong năm,Trích khấu hao vào xây dựng cơ bản dở dang trong năm,-,-,264.335.600,416.362.147,-,680.697.747,,,264335600.0,416362147.0,,680697747.0
"Thanh lý, nhượng bán","GIÁ TRI HAO MÔN LÜY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(731.676.088),(6.844.917.275),(889.075.234),-,(8.465.668.597),,-731676088.0,-6844917275.0,-889075234.0,,-8465668597.0
Tăng khác,GIÁ TRI HAO MÔN LÜY KẾ > Tăng khác,Tăng khác,322.005.043,3.414.767.296,-,4.525.808,-,3.741.298.147,322005043.0,3414767296.0,,4525808.0,,3741298147.0
Số dư cuối năm,GIÁ TRI HAO MÔN LÜY KẾ > Số dư cuối năm,Số dư cuối năm,7.765.600.367.236,31.815.387.474.012,263.263.635.872,168.302.578.141,623.589.822.612,40.636.143.877.873,7765600367236.0,31815387474012.0,263263635872.0,168302578141.0,623589822612.0,40636143877873.0
GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,GIÁ TRI CÔN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRI CÔN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,11.250.212.113.367,18.860.046.289.247,56.079.954.481,66.356.412.429,1.602.175.241.183,31.834.870.010.707,11250212113367.0,18860046289247.0,56079954481.0,66356412429.0,1602175241183.0,31834870010707.0
Tại ngày cuối năm,GIÁ TRI CÔN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,10.447.020.029.820,17.039.823.679.474,57.461.647.307,65.792.460.222,1.513.174.872.222,29.123.272.689.045,10447020029820.0,17039823679474.0,57461647307.0,65792460222.0,1513174872222.0,29123272689045.0
