row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp /bù trừ trong năm,Số đã nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp /bù trừ trong năm,numeric__Số đã nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế giá trị gia tăng,a. Các khoản phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,30.033.095.271,30.033.095.271,-,-,30033095271.0,30033095271.0,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,104.986.260.843,104.986.260.843,-,-,104986260843.0,104986260843.0,,
Các khoản thuế khác,a. Các khoản phải thu > Các khoản thuế khác,Các khoản thuế khác,1.470.748.620,1.470.748.620,-,-,1470748620.0,1470748620.0,,
,,,136.490.104.734,136.490.104.734,-,-,136490104734.0,136490104734.0,,
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,167.363.564.823,442.800.830.164,472.784.341.907,137.380.053.080,167363564823.0,442800830164.0,472784341907.0,137380053080.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,33.064.499.290,135.779.591.857,85.856.641.570,82.987.449.577,33064499290.0,135779591857.0,85856641570.0,82987449577.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,11.706.874.294,215.654.396.837,211.821.534.789,15.539.736.342,11706874294.0,215654396837.0,211821534789.0,15539736342.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.739.649.383,63.015.920.118,63.042.009.395,6.713.560.106,6739649383.0,63015920118.0,63042009395.0,6713560106.0
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,6.291.740.381,6.291.740.381,-,,6291740381.0,6291740381.0,
"Thuế, phí bảo vệ môi trường","b. Các khoản phải trả > Thuế, phí bảo vệ môi trường","Thuế, phí bảo vệ môi trường",-,27.563.500.224,27.563.500.224,-,,27563500224.0,27563500224.0,
"Các khoản thuế, phí khác","b. Các khoản phải trả > Các khoản thuế, phí khác","Các khoản thuế, phí khác",8.474.546.855,117.086.697.509,117.964.999.769,7.596.244.595,8474546855.0,117086697509.0,117964999769.0,7596244595.0
,,,227.349.134.645,1.008.192.677.090,985.324.768.035,250.217.043.700,227349134645.0,1008192677090.0,985324768035.0,250217043700.0
