row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Tổng VND,numeric__Chế biến sản phẩm thủy sản VND,numeric__Kinh doanh sản phẩm thủy sản VND,numeric__Tổng VND
Tài sản của bộ phận Đầu tư vào công ty liên kết,Tài sản của bộ phận Đầu tư vào công ty liên kết,Tài sản của bộ phận Đầu tư vào công ty liên kết,5.301.556.176.659,1.517.266.191.525,6.818.822.368.1843.900.000.000,5301556176659.0,1517266191525.0,6.81882236818439e+22
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,6.822.722.368.184,,,6822722368184.0
Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,1.186.572.442.798,339.588.262.627,1.526.160.705.425,1186572442798.0,339588262627.0,1526160705425.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,1.526.160.705.425,,,1526160705425.0
Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Cho năm kết thúc ngày 31 tháng 12 năm 2019,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Chi tiêu vốn,Chi tiêu vốn,16.746.413.805,4.792.699.850,21.539.113.655,16746413805.0,4792699850.0,21539113655.0
Khấu hao và phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2019 > Khấu hao và phân bổ,Khấu hao và phân bổ,31.209.376.619,8.931.892.905,40.141.269.524,31209376619.0,8931892905.0,40141269524.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Chế biến sản phẩm thủy sản VND,Kinh doanh sản phẩm thủy sản VND,Tổng VND,,,
Tài sản của bộ phận Đầu tư vào công ty liên kết,Tại ngày 31 tháng 12 năm 2018 > Tài sản của bộ phận Đầu tư vào công ty liên kết,Tài sản của bộ phận Đầu tư vào công ty liên kết,5.149.365.484.810,930.785.481.002,6.080.150.965.8123.900.000.000,5149365484810.0,930785481002.0,6.08015096581239e+22
Tổng tài sản,Tại ngày 31 tháng 12 năm 2018 > Tổng tài sản,Tổng tài sản,,,6.084.050.965.812,,,6084050965812.0
Nợ phải trả của bộ phận,Tại ngày 31 tháng 12 năm 2018 > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,2.779.026.346.465,502.329.341.788,3.281.355.688.253,2779026346465.0,502329341788.0,3281355688253.0
Tổng nợ phải trả,Tại ngày 31 tháng 12 năm 2018 > Tổng nợ phải trả,Tổng nợ phải trả,,,3.281.355.688.253,,,3281355688253.0
Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,,,,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chi tiêu vốn,Chi tiêu vốn,46.593.333.550,8.422.085.888,55.015.419.438,46593333550.0,8422085888.0,55015419438.0
Khấu hao và phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao và phân bổ,Khấu hao và phân bổ,31.474.878.513,5.689.314.542,37.164.193.055,31474878513.0,5689314542.0,37164193055.0
