row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2017Triệu đồng,Ngày 31 tháng 12 năm 2016Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2017Triệu đồng,numeric__Ngày 31 tháng 12 năm 2016Triệu đồng
IÀI SẢN,IÀI SẢN,IÀI SẢN,IÀI SẢN,IÀI SẢN,IÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","IÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.574.284,1.727.361,5.0,2574284.0,1727361.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,IÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,6.460.795,2.982.589,6.0,6460795.0,2982589.0
Tiền gửi và cho vay các tổ chức tin dụng khác,IÀI SẢN > Tiền gửi và cho vay các tổ chức tin dụng khác,Tiền gửi và cho vay các tổ chức tin dụng khác,7,17.520.025,9.388.905,7.0,17520025.0,9388905.0
Tiền gửi tại các TCTD khác,IÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,15.218.720,4.089.176,71.0,15218720.0,4089176.0
Cho vay các TCTD khác,IÀI SẢN > Cho vay các TCTD khác,Cho vay các TCTD khác,7.2,2.302.036,5.300.460,72.0,2302036.0,5300460.0
Dự phòng rủi ro,IÀI SẢN > Dự phòng rủi ro,Dự phòng rủi ro,,(731),(731),,-731.0,-731.0
Chứng khoán kinh doanh,IÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,1.424.854,2.952.206,8.0,1424854.0,2952206.0
Chứng khoán kinh doanh,IÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,1.424.854,2.953.769,,1424854.0,2953769.0
Dự phòng rủi ro chứng khoán kinh doanh,IÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,-,(1.563),,,-1563.0
Cho vay khách hàng,IÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,179.518.809,142.583.251,,179518809.0,142583251.0
Cho vay khách hàng,IÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,182.666.213,144.673.213,10.0,182666213.0,144673213.0
