row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tổng giá trị cửa hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2017,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Tại ngày 31 tháng 12 năm 2017,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Tại ngày 31 tháng 12 năm 2017,Giá trị thuầnTriệu đồng > Tại ngày 31 tháng 12 năm 2017,numeric__Tổng giá trị cửa hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2017,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Tại ngày 31 tháng 12 năm 2017,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Nợ phải trảTriệu đồng > Tại ngày 31 tháng 12 năm 2017,numeric__Giá trị thuầnTriệu đồng > Tại ngày 31 tháng 12 năm 2017
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,42.188.757,41.777.187,(41.909.789),(132.602),42188757.0,41777187.0,-41909789.0,-132602.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,7.553.187,7.512.691,(7.411.395),101.296,7553187.0,7512691.0,-7411395.0,101296.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,34.635.570,34.264.496,(34.498.394),(233.898),34635570.0,34264496.0,-34498394.0,-233898.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,3.915.001,2.093.000,(2.120.867),(27.867),3915001.0,2093000.0,-2120867.0,-27867.0
,,,46.103.758,43.870.187,(44.030.656),(160.469),46103758.0,43870187.0,-44030656.0,-160469.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2016 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,25.869.954,25.471.176,(25.666.246),(195.070),25869954.0,25471176.0,-25666246.0,-195070.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2016 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,12.754.991,12.524.584,(12.662.735),(138.151),12754991.0,12524584.0,-12662735.0,-138151.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2016 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,13.114.963,12.946.592,(13.003.511),(56.919),13114963.0,12946592.0,-13003511.0,-56919.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2016 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,107.050,110.795,(107.050),3.745,107050.0,110795.0,-107050.0,3745.0
,,,25.977.004,25.581.971,(25.773.296),(191.325),25977004.0,25581971.0,-25773296.0,-191325.0
