row_label_raw,row_label_full,col_0,Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh Triệu đồng,Giữ đến ngày đáo hạn Triệu đồng,Cho vay và phải thu Triệu đồng,Sản sàng để bán Triệu đồng,Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,Tổng cộng giá trị ghi số Triệu đồng,Giá trị hợp lý Triệu đồng,numeric__Ghi nhận giá trị hợp lý thông qua kết quả hoạt động kinh doanh Triệu đồng,numeric__Giữ đến ngày đáo hạn Triệu đồng,numeric__Cho vay và phải thu Triệu đồng,numeric__Sản sàng để bán Triệu đồng,numeric__Tài sản và nợ khác hạch toán theo giá trị phân bổ Triệu đồng,numeric__Tổng cộng giá trị ghi số Triệu đồng,numeric__Giá trị hợp lý Triệu đồng
"Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,2.574.284,-,-,2.574.284,2.574.284,,,2574284.0,,,2574284.0,2574284.0
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,6.460.795,-,-,6.460.795,(*),,,6460795.0,,,6460795.0,
Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,Tiền gửi và cho vay các TCTD khác – gộp,-,-,17.520.756,-,-,17.520.756,(*),,,17520756.0,,,17520756.0,
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.424.854,-,-,-,-,1.424.854,(*),1424854.0,,,,,1424854.0,
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,-,-,182.666.213,-,-,182.666.213,(*),,,182666213.0,,,182666213.0,
Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,-,-,-,50.384.788,-,50.384.788,(*),,,,50384788.0,,50384788.0,
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,-,4.151.127,-,-,-,4.151.127,(*),,4151127.0,,,,4151127.0,
Tải sản tài chính khác,Tải sản tài chính khác,Tải sản tài chính khác,-,-,11.964.741,194.602,-,12.159.343,(*),,,11964741.0,194602.0,,12159343.0,
,,,1.424.854,4.151.127,221.186.789,50.579.390,-,277.342.160,(*),1424854.0,4151127.0,221186789.0,50579390.0,,277342160.0,
Các khoản nợ NHNN,Các khoản nợ NHNN,Các khoản nợ NHNN,-,-,-,-,26.015,26.015,(*),,,,,26015.0,26015.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,-,33.200.418,33.200.418,(*),,,,,33200418.0,33200418.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,133.550.812,133.550.812,(*),,,,,133550812.0,133550812.0,
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,160.469,-,-,-,-,160.469,(*),160469.0,,,,,160469.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tin dụng chịu rủi ro",-,-,-,-,3.899.364,3.899.364,(*),,,,,3899364.0,3899364.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,66.104.605,66.104.605,(*),,,,,66104605.0,66104605.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,-,-,-,-,8.268.311,8.268.311,(*),,,,,8268311.0,8268311.0,
,,,160.469,-,-,-,245.049.525,245.209.994,(*),160469.0,,,,245049525.0,245209994.0,
