row_label_raw,row_label_full,col_0,Hoạt độngngân hàngTriệu VND,Hoạt độngquản lý tài sảnTriệu VND,Điều chỉnhnội bộTriệu VND,Tổng cộngTriệu VND,numeric__Hoạt độngngân hàngTriệu VND,numeric__Hoạt độngquản lý tài sảnTriệu VND,numeric__Điều chỉnhnội bộTriệu VND,numeric__Tổng cộngTriệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,34.133.371,1.512,(1.512),34.133.371,34133371.0,1512.0,-1512.0,34133371.0
Doanh thu lãi từ khách hàng bên ngoài,I. Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,34.133.371,-,-,34.133.371,34133371.0,,,34133371.0
Doanh thu lãi từ nội bộ,I. Doanh thu > Doanh thu lãi từ nội bộ,Doanh thu lãi từ nội bộ,-,1.512,(1.512),-,,1512.0,-1512.0,
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,1.461.428,130.978,(130.862),1.461.544,1461428.0,130978.0,-130862.0,1461544.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,2.966.555,(16.434),-,2.950.121,2966555.0,-16434.0,,2950121.0
,,,38.561.354,116.056,(132.374),38.545.036,38561354.0,116056.0,-132374.0,38545036.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(13.518.945),-,-,(13.518.945),-13518945.0,,,-13518945.0
Chi phí lãi khách hàng bên ngoài,II. Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(13.518.945),-,-,(13.518.945),-13518945.0,,,-13518945.0
Chi phí lãi nội bộ,Chi phí lãi nội bộ,Chi phí lãi nội bộ,-,-,-,-,,,,
2. Chi phí khấu hao TSCĐ,Chi phí lãi nội bộ > 2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(244.364),(468),-,(244.832),-244364.0,-468.0,,-244832.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí lãi nội bộ > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(8.536.019),(114.119),,(8.650.138),-8536019.0,-114119.0,,-8650138.0
,,,(22.299.328),(114.587),-,(22.413.915),-22299328.0,-114587.0,,-22413915.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí lãi nội bộ > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,16.262.026,1.469,(132.374),16.131.121,16262026.0,1469.0,-132374.0,16131121.0
Chi phí dự phòng rủi ro,Chi phí lãi nội bộ > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(8.001.058),-,-,(8.001.058),-8001058.0,,,-8001058.0
Kết quả kinh doanh bộ phận,Chi phí lãi nội bộ > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,8.260.968,1.469,(132.374),8.130.063,8260968.0,1469.0,-132374.0,8130063.0
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,
1. Tiền mặt,III. Tài sản > 1. Tiền mặt,1. Tiền mặt,2.574.284,-,-,2.574.284,2574284.0,,,2574284.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,807.600,886,-,808.486,807600.0,886.0,,808486.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,274.283.013,185.144,(98.613),274.369.544,274283013.0,185144.0,-98613.0,274369544.0
,,,277.664.897,186.030,(98.613),277.752.314,277664897.0,186030.0,-98613.0,277752314.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,242.004.849,-,-,242.004.849,242004849.0,,,242004849.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,719.909,-,-,719.909,719909.0,,,719909.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,5.306.697,25.149,-,5.331.846,5306697.0,25149.0,,5331846.0
,,,248.031.455,25.149,-,248.056.604,248031455.0,25149.0,,248056604.0
