row_label_raw,row_label_full,col_0,Thuyết minh,2017 Triệu đồng,2016 Triệu đồng,numeric__Thuyết minh,numeric__2017 Triệu đồng,numeric__2016 Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27,34 133 371,25 631 116,27.0,,
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,28,(13.518.945),(10.463.257),28.0,-13518945.0,-10463257.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,20.614.426,15.167.859,,20614426.0,15167859.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,3.210.071,2.114.834,,3210071.0,2114834.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(1.748.527),(1.261.908),,-1748527.0,-1261908.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,29,1.461.544,852.926,29.0,1461544.0,852926.0
Lỗ thuần từ hoạt động kinh doanh ngoại hối,Lỗ thuần từ hoạt động kinh doanh ngoại hối,Lỗ thuần từ hoạt động kinh doanh ngoại hối,30,(158.842),(318.960),30.0,-158842.0,-318960.0
Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,Lãi/(lỗ) thuần từ mua bán chứng khoán kinh doanh,31,179.638,(149.384),31.0,179638.0,-149384.0
Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,Lãi thuần từ mua bán chứng khoán đầu tư,32,339.477,91.874,32.0,339477.0,91874.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,3.208.782,1.450.885,,3208782.0,1450885.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,,(672.502),(232.315),,-672502.0,-232315.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,33,2.536.280,1.218.570,33.0,2536280.0,1218570.0
Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,Thu nhập từ góp vốn mua cổ phần,34,53.568,872,34.0,53568.0,872.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,25.026.091,16.863.757,,25026091.0,16863757.0
Chi phí cho nhân viên,Chi phí cho nhân viên,Chi phí cho nhân viên,,(5.060.266),(3.430.934),,-5060266.0,-3430934.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,,(244.832),(177.433),,-244832.0,-177433.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(3.589.872),(3.012.985),,-3589872.0,-3012985.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,35,(8.894.970),(6.621.352),35.0,-8894970.0,-6621352.0
Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lãi thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,16.131.121,10.242.405,,16131121.0,10242405.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,36,(8.001.058),(5.313.094),36.0,-8001058.0,-5313094.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,8.130.063,4.929.311,,8130063.0,4929311.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,24.1,(1.689.296),(994.266),241.0,-1689296.0,-994266.0
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,,(1.689.296),(994.266),,-1689296.0,-994266.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,6.440.767,3.935.045,,6440767.0,3935045.0
Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),26,4.564,2.843,26.0,4564.0,2843.0
