row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2017Triệu đồng,Ngày 31 tháng 12năm 2016Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2017Triệu đồng,numeric__Ngày 31 tháng 12năm 2016Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Ngân hàng Nhà nước Việt Nam,Các khoản nợ Ngân hàng Nhà nước Việt Nam,18,26.015,1.103.686,18.0,26015.0,1103686.0
Tiền gửi và vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,19,33.200.418,28.835.898,19.0,33200418.0,28835898.0
Tiền gửi của các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,19.1,7.834.381,13.437.105,191.0,7834381.0,13437105.0
Vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,19.2,25.366.037,15.398.793,192.0,25366037.0,15398793.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20,133.550.812,123.787.572,20.0,133550812.0,123787572.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,160.469,191.325,9.0,160469.0,191325.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",21,3.899.364,1.389.786,21.0,3899364.0,1389786.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,22,66.104.605,48.650.527,22.0,66104605.0,48650527.0
Các khoản nợ phải trả khác,NỘ PHẢI TRẢ > Các khoản nợ phải trả khác,Các khoản nợ phải trả khác,23,11.114.921,7.634.596,23.0,11114921.0,7634596.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",23.1,5.063.166,3.161.924,231.0,5063166.0,3161924.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,23.2,6.051.755,4.472.672,232.0,6051755.0,4472672.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,248.056.604,211.593.390,,248056604.0,211593390.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,25,15.706.230,9.181.000,25.0,15706230.0,9181000.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,25,5.866.105,1.288.863,25.0,5866105.0,1288863.0
Các quỹ dự trữ,VỐN CHỦ SỞ HỮU > Các quỹ dự trữ,Các quỹ dự trữ,25,3.558.265,2.950.192,25.0,3558265.0,2950192.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,25,4.565.110,3.757.473,25.0,4565110.0,3757473.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,,29.695.710,17.177.528,,29695710.0,17177528.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,277.752.314,228.770.918,,277752314.0,228770918.0
