row_label_raw,row_label_full,col_0,Thuyết minh,2017Triệu đồng,2016Triệu đồng,numeric__Thuyết minh,numeric__2017Triệu đồng,numeric__2016Triệu đồng
LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH,,,
Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH > Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,Tăng vốn cổ phần tử góp vốn và/hoặc phát hành cổ phiếu,25.1,6.224.386,-,251.0,6224386.0,
Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH > Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,-,2.876.960,,,2876960.0
"Cổ tức trả cho cổ đông, lợi nhuận đã chia","LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH > Cổ tức trả cho cổ đông, lợi nhuận đã chia","Cổ tức trả cho cổ đông, lợi nhuận đã chia",25.1,(146.439),(146.439),251.0,-146439.0,-146439.0
Lưu chuyển tiền thuần từ hoạt động tài chính,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,,6.077.947,2.730.521,,6077947.0,2730521.0
Lưu chuyển tiền thuần trong năm,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,,15.454.673,(3.824.543),,15454673.0,-3824543.0
Tiền và các khoản tương đương tiền đầu năm,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH > Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,,8.799.126,12.623.669,,8799126.0,12623669.0
Tiền và các khoản tương đương tiền cuối năm,LỰU CHUYÊN TIÊN TỪ HOAT ĐỘNGTÀI CHÍNH > Tiền và các khoản tương đương tiền cuối năm,Tiền và các khoản tương đương tiền cuối năm,37,24.253.799,8.799.126,37.0,24253799.0,8799126.0
CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾUTRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾUTRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾUTRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾUTRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾUTRONG NĂM,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾUTRONG NĂM,,,
Phát hành cổ phiếu thường từ quỹ dự trữ bổ sung vốn điều lệ và quỹ đầu tư phát triển,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾUTRONG NĂM > Phát hành cổ phiếu thường từ quỹ dự trữ bổ sung vốn điều lệ và quỹ đầu tư phát triển,Phát hành cổ phiếu thường từ quỹ dự trữ bổ sung vốn điều lệ và quỹ đầu tư phát triển,25.1,579.300,57.537,251.0,579300.0,57537.0
Tăng vốn từ lợi nhuận để lại,CÁC GIAO DỊCH PHI TIÊN TỆ TRỘNG YẾUTRONG NĂM > Tăng vốn từ lợi nhuận để lại,Tăng vốn từ lợi nhuận để lại,25.1,4.298.786,1.066.997,251.0,4298786.0,1066997.0
