row_label_raw,row_label_full,col_0,Ngày 31 tháng12 năm 2017Triệu đồng,%,Ngày 31 tháng12 năm 2016Triệu đồng,%_1,numeric__Ngày 31 tháng12 năm 2017Triệu đồng,numeric__%,numeric__Ngày 31 tháng12 năm 2016Triệu đồng,numeric__%_1
Công ty Nhà nước,Công ty Nhà nước,Công ty Nhà nước,2.847.526,"2,13",5.058.364,"4,09",2847526.0,2.13,5058364.0,4.09
Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do Nhà nước sở hữu 100% vốn điều lệ,1.149.170,"0,86",2.134.004,"1,72",1149170.0,0.86,2134004.0,1.72
Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,Công ty TNHH 2 thành viên trở lên có phần vốn góp của Nhà nước trên 50% vốn điều lệ hoặc Nhà nước giữ quyền chi phối,151.792,"0,11",132.097,"0,11",151792.0,0.11,132097.0,0.11
Công ty TNHH khác,Công ty TNHH khác,Công ty TNHH khác,18.720.792,"14,02",11.292.431,"9,12",18720792.0,14.02,11292431.0,9.12
Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,Công ty cổ phần có vốn góp của Nhà nước trên 50% vốn điều lệ hoặc tổng số cổ phần có quyền biểu quyết; hoặc Nhà nước giữ quyền chi phối đối với công ty trong Điều lệ của công ty,1.438.706,"1,08",139.695,"0,11",1438706.0,1.08,139695.0,0.11
Công ty cổ phần khác,Công ty cổ phần khác,Công ty cổ phần khác,28.238.527,"21,15",22.118.212,"17,86",28238527.0,21.15,22118212.0,17.86
Công ty hợp danh,Công ty hợp danh,Công ty hợp danh,1.936,"0,00",451,-,1936.0,0.0,451.0,
Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,80.168,"0,06",130.572,"0,11",80168.0,0.06,130572.0,0.11
Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,1.386.953,"1,04",799.203,"0,65",1386953.0,1.04,799203.0,0.65
Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,Hợp tác xã và liên hiệp hợp tác xã,16.962,"0,01",12.682,"0,01",16962.0,0.01,12682.0,0.01
"Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",77.464.297,"58,00",74.115.293,"59,87",77464297.0,58.0,74115293.0,59.87
"Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội","Đơn vị hành chính sự nghiệp, Đăng, đoàn thể và hiệp hội",1.852.220,"1,39",1.494.688,"1,21",1852220.0,1.39,1494688.0,1.21
Khác,Khác,Khác,201.763,"0,15",6.359.880,"5,14",201763.0,0.15,6359880.0,5.14
,,,133.550.812,100,123.787.572,100,133550812.0,100.0,123787572.0,100.0
