row_label_raw,row_label_full,col_0,Chưa quá hạnTriệu đồng,Đã quá hạn nhưng chưa bị giảm giáTriệu đồng,Đã quá hạn và đã trích lập dự phòngTriệu đồng,Tổng cộngTriệu đồng,numeric__Chưa quá hạnTriệu đồng,numeric__Đã quá hạn nhưng chưa bị giảm giáTriệu đồng,numeric__Đã quá hạn và đã trích lập dự phòngTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,17.520.025,-,731,17.520.756,17520025.0,,731.0,17520756.0
- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,- Tiến gửi tại TCTD khác,15.218.720,-,-,15.218.720,15218720.0,,,15218720.0
- Cho vay các TCTD khác,- Cho vay các TCTD khác,- Cho vay các TCTD khác,2.301.305,-,731,2.302.036,2301305.0,,731.0,2302036.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,1.424.854,-,-,1.424.854,1424854.0,,,1424854.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,174.841.497,1.071.994,6.752.722,182.666.213,174841497.0,1071994.0,6752722.0,182666213.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,54.535.915,-,-,54.535.915,54535915.0,,,54535915.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,50.384.788,-,-,50.384.788,50384788.0,,,50384788.0
- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,- Chứng khoán đầu tư giữ đến ngày đáo hạn,4.151.127,-,-,4.151.127,4151127.0,,,4151127.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,15.689.475,-,66.434,15.755.909,15689475.0,,66434.0,15755909.0
Tổng cộng,Tổng cộng,Tổng cộng,264.011.766,1.071.994,6.819.887,271.903.647,264011766.0,1071994.0,6819887.0,271903647.0
