row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Nhà cửa vật kiến trúcTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Nhà cửa vật kiến trúcTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,20.075,9.890,29.965,20075.0,9890.0,29965.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(20.075),(9.890),(29.965),-20075.0,-9890.0,-29965.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Số dư đầu năm,Giá trị khấu hao lũy kế > Số dư đầu năm,Số dư đầu năm,-,2.803,2.803,,2803.0,2803.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,146,146,,146.0,146.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.949),(2.949),,-2949.0,-2949.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,20.075,7.087,27.162,20075.0,7087.0,27162.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,-,-,,,
