row_label_raw,row_label_full,col_0,Giá trị sổ sách > Ngày 31 tháng 12năm 2017Triệu đồng,Giá trị sổ sách > Ngày 31 tháng 12năm 2016Triệu đồng,numeric__Giá trị sổ sách > Ngày 31 tháng 12năm 2017Triệu đồng,numeric__Giá trị sổ sách > Ngày 31 tháng 12năm 2016Triệu đồng
Bất động sản,Bất động sản,Bất động sản,173.456.281,148.665.359,173456281.0,148665359.0
Động sản,Động sản,Động sản,39.934.274,30.749.819,39934274.0,30749819.0
Giấy tờ có giá,Giấy tờ có giá,Giấy tờ có giá,79.901.398,66.248.237,79901398.0,66248237.0
Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,Các tài sản đảm bảo khác,106.177.159,94.972.311,106177159.0,94972311.0
,,,399.469.112,340.635.726,399469112.0,340635726.0
