row_label_raw,row_label_full,Ngày 31 tháng 12năm 2016đã trình bày trước dâyTriệu đồng,%,Phân loại lạiTriệu đồng,%_1,Ngày 31 tháng12 năm 2015trình bày laiTriệu đồng,%_2,numeric__%,numeric__Phân loại lạiTriệu đồng,numeric__%_1,numeric__Ngày 31 tháng12 năm 2015trình bày laiTriệu đồng,numeric__%_2
2.498.851,2.498.851,2.498.851,"1,73",(1.453.191),"(1,01)",1.045.660,"0,72",1.73,-1453191.0,-1.01,1045660.0,0.72
290.298,290.298,290.298,"0,20",(122.120),"(0,08)",168.178,"0,12",0.2,-122120.0,-0.08,168178.0,0.12
16.637.628,16.637.628,16.637.628,"11,50",(8.224.711),"(5,68)",8.412.917,"5,82",11.5,-8224711.0,-5.68,8412917.0,5.82
2.479.019,2.479.019,2.479.019,"1,72",(205.993),"(0,15)",2.273.026,"1,57",1.72,-205993.0,-0.15,2273026.0,1.57
562.659,562.659,562.659,"0,39",(167.126),"(0,12)",395.533,"0,27",0.39,-167126.0,-0.12,395533.0,0.27
6.035.306,6.035.306,6.035.306,"4,17",(1.023.139),"(0,71)",5.012.167,"3,46",4.17,-1023139.0,-0.71,5012167.0,3.46
11.228.534,11.228.534,11.228.534,"7,76",(3.415.244),"(2,36)",7.813.290,"5,40",7.76,-3415244.0,-2.36,7813290.0,5.4
3.427.557,3.427.557,3.427.557,"2,37",6.618.528,"4,57",10.046.085,"6,94",2.37,6618528.0,4.57,10046085.0,6.94
3.258.575,3.258.575,3.258.575,"2,25",13.682,"0,01",3.272.257,"2,26",2.25,13682.0,0.01,3272257.0,2.26
562.148,562.148,562.148,"0,39",(127.009),"(0,09)",435.139,"0,30",0.39,-127009.0,-0.09,435139.0,0.3
5.540.253,5.540.253,5.540.253,"3,83",(2.746.422),"(1,90)",2.793.831,"1,93",3.83,-2746422.0,-1.9,2793831.0,1.93
17.794.732,17.794.732,17.794.732,"12,30",(848.362),"(0,59)",16.946.370,"11,71",12.3,-848362.0,-0.59,16946370.0,11.71
962.987,962.987,962.987,"0,67",(694.539),"(0,48)",268.448,"0,19",0.67,-694539.0,-0.48,268448.0,0.19
1.838.986,1.838.986,1.838.986,"1,27",(1.406.931),"(0,97)",432.055,"0,30",1.27,-1406931.0,-0.97,432055.0,0.3
206.364,206.364,206.364,"0,14",(206.364),"(0,14)",-,-,0.14,-206364.0,-0.14,,
700.782,700.782,700.782,"0,48",(488.061),"(0,33)",212.721,"0,15",0.48,-488061.0,-0.33,212721.0,0.15
228.241,228.241,228.241,"0,16",(201.578),"(0,14)",26.663,"0,02",0.16,-201578.0,-0.14,26663.0,0.02
633.031,633.031,633.031,"0,44",(198.377),"(0,14)",434.654,"0,30",0.44,-198377.0,-0.14,434654.0,0.3
8.565.281,8.565.281,8.565.281,"5,92",(8.276.906),"(5,72)",288.375,"0,20",5.92,-8276906.0,-5.72,288375.0,0.2
61.186.300,61.186.300,61.186.300,"42,29",23.209.544,"16,05",84.395.844,"58,34",42.29,23209544.0,16.05,84395844.0,58.34
35.681,35.681,35.681,"0,02",(35.681),"(0,02)",-,-,0.02,-35681.0,-0.02,,
144.673.213,144.673.213,144.673.213,100,-,-,144.673.213,100,100.0,,,144673213.0,100.0
