row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2017 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12năm 2017 > Tỷ lệsở hữu,Ngày 31 tháng 12năm 2016 > Giá trị gốcTriệu đồng,Ngày 31 tháng 12năm 2016 > Tỷ lệsở hữu,numeric__Ngày 31 tháng 12năm 2017 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12năm 2017 > Tỷ lệsở hữu,numeric__Ngày 31 tháng 12năm 2016 > Giá trị gốcTriệu đồng,numeric__Ngày 31 tháng 12năm 2016 > Tỷ lệsở hữu
Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,Đầu tư vào tổ chức kinh tế,,,,
Công ty CP Vận tally ITRACO,Đầu tư vào tổ chức kinh tế > Công ty CP Vận tally ITRACO,Công ty CP Vận tally ITRACO,21,"0,64%",21,"0,64%",21.0,0.0064,21.0,0.0064
Công ty CP Đồng Xuân,Đầu tư vào tổ chức kinh tế > Công ty CP Đồng Xuân,Công ty CP Đồng Xuân,5.000,"10,00%",5.000,"10,00%",5000.0,0.1,5000.0,0.1
Công ty CP Đào tạo và Tư vấn Ngân hàng (BTC),Đầu tư vào tổ chức kinh tế > Công ty CP Đào tạo và Tư vấn Ngân hàng (BTC),Công ty CP Đào tạo và Tư vấn Ngân hàng (BTC),371,"5,29%",371,"5,15%",371.0,0.0529,371.0,0.051500000000000004
Công ty CP Thông tin tín dụng (PCB),Đầu tư vào tổ chức kinh tế > Công ty CP Thông tin tín dụng (PCB),Công ty CP Thông tin tín dụng (PCB),3.934,"3,28%",3.934,"3,28%",3934.0,0.032799999999999996,3934.0,0.032799999999999996
Công ty CP Cảng Sài Gòn,Đầu tư vào tổ chức kinh tế > Công ty CP Cảng Sài Gòn,Công ty CP Cảng Sài Gòn,185.276,"7,44%",185.276,"7,44%",185276.0,0.07440000000000001,185276.0,0.07440000000000001
Công ty CP Chứng khoán Ngân hàng Việt Nam Thịnh Vương (VPBS),Đầu tư vào tổ chức kinh tế > Công ty CP Chứng khoán Ngân hàng Việt Nam Thịnh Vương (VPBS),Công ty CP Chứng khoán Ngân hàng Việt Nam Thịnh Vương (VPBS),-,-,104.770,"11,00%",,,104770.0,0.11
,,,194.602,,299.372,,194602.0,,299372.0,
Dự phòng giảm giá đầu tư dài hạn khác,Đầu tư vào tổ chức kinh tế > Dự phòng giảm giá đầu tư dài hạn khác,Dự phòng giảm giá đầu tư dài hạn khác,(42.096),,(76.442),,-42096.0,,-76442.0,
,,,152.506,,222.930,,152506.0,,222930.0,
