row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu đồng,Thặng dư vốn cổ phần Triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,Quỹ dự phòng tài chính Triệu đồng,Quỹ đầu tư phát triển Triệu đồng,Lợi nhuận chưa phân phối Triệu đồng,Tổng cộng Triệu đồng,numeric__Vốn điều lệ Triệu đồng,numeric__Thặng dư vốn cổ phần Triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,numeric__Quỹ dự phòng tài chính Triệu đồng,numeric__Quỹ đầu tư phát triển Triệu đồng,numeric__Lợi nhuận chưa phân phối Triệu đồng,numeric__Tổng cộng Triệu đồng
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,8.056.466,1.288.863,198.329,688.958,437.488,2.718.818,13.388.922,8056466.0,1288863.0,198329.0,688958.0,437488.0,2718818.0,13388922.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,3.935.045,3.935.045,,,,,,3935045.0,3935045.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,57.537,-,(57.537),-,-,-,-,57537.0,,-57537.0,,,,
Trả cổ tức cho cổ phiếu ưu đãi,Trả cổ tức cho cổ phiếu ưu đãi,Trả cổ tức cho cổ phiếu ưu đãi,-,-,-,-,-,(146.439),(146.439),,,,,,-146439.0,-146439.0
Tăng vốn từ lợi nhuận đề lại,Tăng vốn từ lợi nhuận đề lại,Tăng vốn từ lợi nhuận đề lại,1.066.997,-,-,-,-,(1.066.997),-,1066997.0,,,,,-1066997.0,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,198.004,395.817,1.089.133,(1.682.954),-,,,198004.0,395817.0,1089133.0,-1682954.0,
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,9.181.000,1.288.863,338.796,1.084.775,1.526.621,3.757.473,17.177.528,9181000.0,1288863.0,338796.0,1084775.0,1526621.0,3757473.0,17177528.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,6.440.767,6.440.767,,,,,,6440767.0,6440767.0
Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,Phát hành cổ phiếu phổ thông,1.647.144,4.776.717,-,-,-,-,6.423.861,1647144.0,4776717.0,,,,,6423861.0
Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,Phát hành cổ phiếu thường,579.300,-,(170.597),-,(408.703),-,-,579300.0,,-170597.0,,-408703.0,,
Trả cổ tức cho cổ phần ưu đãi,Trả cổ tức cho cổ phần ưu đãi,Trả cổ tức cho cổ phần ưu đãi,-,-,-,-,-,(146.439),(146.439),,,,,,-146439.0,-146439.0
Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưa phân phối đề tăng vốn,Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưa phân phối đề tăng vốn,Chuyển từ quỹ đầu tư phát triển về lợi nhuận chưa phân phối đề tăng vốn,-,-,-,-,(1.684.040),1.684.040,-,,,,,-1684040.0,1684040.0,
Tăng vốn từ lợi nhuận đề lại,Tăng vốn từ lợi nhuận đề lại,Tăng vốn từ lợi nhuận đề lại,4.298.786,-,-,-,-,(4.296.786),-,4298786.0,,,,,-4296786.0,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,322.662,645.220,1.903.531,(2.871.413),-,,,322662.0,645220.0,1903531.0,-2871413.0,
Phí tư vấn phát hành cổ phiếu phổ thông,Phí tư vấn phát hành cổ phiếu phổ thông,Phí tư vấn phát hành cổ phiếu phổ thông,-,(199.475),-,-,-,-,(199.475),,-199475.0,,,,,-199475.0
Điều chỉnh chi phí thuê các năm trước,Điều chỉnh chi phí thuê các năm trước,Điều chỉnh chi phí thuê các năm trước,-,-,-,-,-,(532),(532),,,,,,-532.0,-532.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,15.706.230,5.866.105,490.861,1.729.995,1.337.409,4.565.*10,29.695.710,15706230.0,5866105.0,490861.0,1729995.0,1337409.0,,29695710.0
