row_label_raw,row_label_full,col_0,Chứng khoánđầu tư sẵn sàngđể bánTriệu đồng,Chứng khoánđầu tư giữ đếninggấy đảo hạnTriệu đồng,IốngTriệu đồng,numeric__Chứng khoánđầu tư sẵn sàngđể bánTriệu đồng,numeric__Chứng khoánđầu tư giữ đếninggấy đảo hạnTriệu đồng,numeric__IốngTriệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,174.833,566.946,741.779,174833.0,566946.0,741779.0
Dự phòng rủi ro tríchlập/(hoàn nhập) trong năm,Dự phòng rủi ro tríchlập/(hoàn nhập) trong năm,Dự phòng rủi ro tríchlập/(hoàn nhập) trong năm,73.726,(70.635),3.091,73726.0,-70635.0,3091.0
Trong đó:,Trong đó:,Trong đó:,,,,,,
Trái phiếu đặc biệt,Trong đó: > Trái phiếu đặc biệt,Trái phiếu đặc biệt,-,(70.635),(70.635),,-70635.0,-70635.0
Chứng khoán khác,Trong đó: > Chứng khoán khác,Chứng khoán khác,73.726,-,73.726,73726.0,,73726.0
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,248.559,496.311,744.870,248559.0,496311.0,744870.0
